"","bursts_ER","bursts_PS","bursts_EH"
"1",235.915545058947,163.346935890031,151.272233751573
"2",184.958906484136,100.147751577028,70.1606273222652
"3",134.073492400208,41.1571387142787,38.5715872280871
"4",98.0191170810132,17.7493296131184,39.4261535506411
"5",100.588427039676,29.8336192879296,40.5316122228448
"6",103.666277696608,32.6553474557883,38.6978990880429
"7",88.9194908809829,31.6894478939124,37.6712347585854
"8",34.6621303533645,11.3176847671713,23.3858646675895
"9",18.2819126456958,11.2900668183697,33.665398473323
"10",22.2578550030448,9.66580225377269,27.7445849949904
"11",22.8897572644528,13.8343356887262,29.4636263263184
"12",23.1376967727853,11.7259449014251,29.0022408302757
"13",23.4899381028999,10.131885871946,25.7053803956845
"14",41.4188704990002,13.957870093807,30.1567674485686
"15",81.351631823748,34.8303635905699,30.0565451011139
"16",101.009874292554,38.1965360217663,34.7195517768825
"17",101.648692515159,40.2123493479923,33.375314206125
"18",102.244508034173,43.1948301670408,27.5375784785791
"19",105.009530378651,41.1633828330211,31.6773882047154
"20",105.505975383715,45.8887879872148,36.7409806881285
"21",109.790773260481,25.9582325763007,37.9488752192116
"22",119.651076027791,0.295871809631127,49.7729589837175
"23",124.925256559902,0.10126904380384,52.9745666446662
"24",124.386916296674,0,44.8455931612325
"25",128.000415673497,0,49.33459325533
"26",139.15645625444,0,53.0501861171878
"27",126.955050913554,0,46.2059432759778
"28",79.4867507444822,0,50.333640477519
"29",26.6437666908707,0,24.757727236232
"30",0.0111657630166811,5.87303965473353,1.75954806605367
"31",0,3.84041081611868,0
"32",0,37.6691903770682,2.86297546298229
"33",0,38.8073231041053,5.91717890719724
"34",0,44.1449392984246,11.5912040055474
"35",0,36.2609874828681,5.07295402744041
"36",0,4.07151630338512,1.54179315960337
"37",0,0,0.0086812063959382
"38",0,0,79.5897164143886
"39",0,0,160.03052591386
"40",0.0174615608920597,0,240.036905048084
"41",0,0,292.760054548912
"42",0,1.69222339483612,297.959542101673
"43",0,21.3807980005384,321.829390789254
"44",0,83.9974953770139,316.638313328105
"45",0,104.289252543601,258.221979184221
"46",0,104.498632460946,188.168700210798
"47",0,113.202812425881,178.447765917762
"48",0,146.299496942252,234.39617227998
"49",0.0483316011298987,201.068461076389,299.532804556687
"50",31.0342667221105,255.647141900484,364.428131690363
"51",75.2984234514475,310.542385282821,429.621385061118
"52",119.696504633646,334.857892119378,463.741321346169
"53",138.458673926227,270.812911340465,382.519984835496
"54",137.735483492944,206.268011588647,317.448151262662
"55",125.786514597738,145.089588339778,232.597662963856
"56",128.473846886609,118.228060096408,142.364533280916
"57",124.966495260329,71.285803814242,52.3053403927786
"58",86.4901973381949,4.71362464900235,0
"59",71.3558918040318,2.37139203074331,0
"60",18.8759536758744,45.7935810215938,0
"61",0,85.1160051162443,0
"62",0,80.0130973048074,0
"63",0,14.4772125410637,0
"64",0,0,0
"65",0,0,0
"66",0,0,0
"67",0,0,0
"68",0,42.1521897740536,0
"69",0,93.0800355598488,0
"70",0,28.0647878373202,0
"71",0,0,0
"72",0,0,0
"73",0,0,0
"74",0,0,0
"75",0,0,0
"76",0,0,0
"77",0,0,0
"78",0,0,0
"79",0,0,0
"80",0,0,0
