"","V1","V2","V3"
"1",219.770190972777,206.783665523601,1004.05514646139
"2",219.210560128419,206.758600984045,909.255283570682
"3",219.14658343314,206.56238426686,883.736930695905
"4",218.271316027456,205.511673018325,851.668669438345
"5",217.684026122746,205.406500801271,859.068376893918
"6",363.428684088299,204.425147019124,829.034936033244
"7",435.675672650174,203.247499290719,837.011679674506
"8",581.89732289012,253.199859762666,778.098633660479
"9",581.769636533978,277.924163540337,831.028054168012
"10",727.844087006635,237.026193863337,967.741728820148
"11",800.544706770018,188.178104035101,1029.08924465284
"12",873.793724480795,136.423951887723,1310.68640617079
"13",872.502142038661,89.0360992661436,1515.47939140309
"14",798.065376375971,37.3606169753537,1586.38846750411
"15",1090.31795365973,98.3004221684671,2439.11487433076
"16",1090.05175536208,101.121257052334,2504.45802159392
"17",1309.24536368478,212.168095910233,2644.80852685534
"18",1304.8949442589,229.817691825359,2632.57061237305
"19",1304.86247592098,307.150011396168,2632.1163928278
"20",1517.15278505667,434.083427627446,3272.73782628403
"21",1588.70728586804,474.579011974584,3268.24647771918
"22",1587.46894400058,424.183903498404,3338.55462338783
"23",1725.08823055555,389.518656981484,3337.2037882216
"24",1783.68267458873,400.19160178621,3336.72345441879
"25",1848.78714293607,358.430830982779,3336.40994289845
"26",1795.47571536796,309.999469341593,3333.49831720169
"27",1729.90844764512,302.046498231768,3333.21213869617
"28",1650.99252790309,301.995842373805,3332.04873288131
"29",1574.55344631145,264.054958991167,3331.97779849694
"30",1500.62613568717,263.850440522698,3328.85665321688
"31",1566.29616875918,469.742266927663,3399.6495100845
"32",1562.77024889344,520.952847728958,3399.15828228988
"33",1485.31653208822,572.419009737161,3469.84454054337
"34",1524.38507953077,571.879983272494,3611.73442429215
"35",1452.63068767897,623.376958810439,3682.98636977266
"36",1442.62558666196,674.835777276955,3819.94872541601
"37",1379.50207504623,674.810595103735,3962.45278414872
"38",1368.41797546386,674.778790936398,3962.44950485292
"39",1432.57220134718,674.689511801004,4174.47362653886
"40",1374.81629168007,726.473340229507,4102.96939939694
"41",1335.21878174854,778.147007736,4101.77896835858
"42",1329.39831911557,778.052671252403,4101.29482288799
"43",881.049966374405,570.766717738677,3744.95396385932
"44",881.049966374404,570.766717738677,3531.16046471781
"45",1027.57168918021,674.369480357193,3673.68946414548
"46",1100.83255058311,674.369480357193,3744.95396385932
"47",1174.09341198601,674.369480357194,3816.21846357316
"48",1247.35427338892,1036.979149522,4030.01196271468
"49",1320.61513479182,1088.78053083126,4101.27646242852
"50",1320.61513479182,1140.58191214052,3459.89596500397
"51",1467.13685759762,1295.98605606829,3673.68946414548
"52",1540.39771900053,1813.99986916087,3958.74746300084
"53",1540.39771900053,1865.80125047013,4030.01196271468
"54",1540.39771900053,2021.20539439791,4101.27646242852
"55",1540.39771900053,2228.41091963494,4457.59896099772
"56",1540.39771900053,2332.01368225346,4600.1279604254
"57",1174.09341198601,2228.41091963494,4386.33446128388
"58",1174.09341198601,2176.60953832568,4315.06996157004
"59",1174.09341198601,2176.60953832568,4315.06996157004
"60",1174.09341198601,2176.60953832568,4243.8054618562
"61",1174.09341198601,2280.2123009442,4243.8054618562
"62",1174.09341198601,2280.2123009442,4243.8054618562
"63",954.310827777307,1969.40401308865,3032.30896672093
"64",1027.57168918021,1969.40401308865,3103.57346643477
"65",1027.57168918021,1969.40401308865,3103.57346643477
"66",1027.57168918021,1969.40401308865,3103.57346643477
"67",1027.57168918021,1969.40401308865,3103.57346643477
"68",1027.57168918021,1969.40401308865,3103.57346643477
"69",1027.57168918021,1969.40401308865,3103.57346643477
"70",441.48479795699,1606.79434392384,2177.13497015485
"71",441.48479795699,1606.79434392384,2177.13497015485
"72",441.48479795699,1606.79434392384,2177.13497015485
"73",441.48479795699,1606.79434392384,2177.13497015485
"74",439.565168417415,1605.84282058701,1068.96749570759
"75",439.565168417415,1605.84282058701,1068.96749570759
"76",439.565168417415,1605.84282058701,997.702995993754
"77",439.565168417415,1605.84282058701,926.438496279914
"78",439.565168417415,1554.04143927775,926.438496279914
"79",439.565168417415,1502.24005796849,855.173996566074
"80",439.565168417415,1502.24005796849,855.173996566074
