date	mois	an	lieu	rr	etp	tempm	tempn	tempx
19/08/2011	août	2011	ermitage	0	2.6	21	16.6	27.2
20/08/2011	août	2011	ermitage	0	3	21.4	16.8	26.9
21/08/2011	août	2011	ermitage	0	2	21.7	18.4	26.7
22/08/2011	août	2011	ermitage	0	2.4	21	17.2	26.1
23/08/2011	août	2011	ermitage	0	2.1	19.8	16.3	26.8
24/08/2011	août	2011	ermitage	0	2.5	19.8	16.1	25.3
25/08/2011	août	2011	ermitage	0	2.1	20.3	16.6	26.2
26/08/2011	août	2011	ermitage	0	2.8	20.2	16.8	26
27/08/2011	août	2011	ermitage	0	2.6	20.9	16.7	26.8
28/08/2011	août	2011	ermitage	0	2.5	20	16.9	27.8
29/08/2011	août	2011	ermitage	0	2.7	20.4	15.9	28.8
30/08/2011	août	2011	ermitage	0	2.6	20.8	15.7	28.4
31/08/2011	août	2011	ermitage	0	2.8	20.6	15.7	28.4
01/09/2011	septembre	2011	ermitage	0	3.4	21.3	16.2	28.8
02/09/2011	septembre	2011	ermitage	0	3.3	20.9	16.4	27.5
03/09/2011	septembre	2011	ermitage	0	3.5	21.6	16.8	27.4
04/09/2011	septembre	2011	ermitage	0	2	21.5	17.1	27.1
05/09/2011	septembre	2011	ermitage	0	3.4	21.4	17.6	28.1
06/09/2011	septembre	2011	ermitage	0	3.2	21.2	17.1	25.9
07/09/2011	septembre	2011	ermitage	0	3.2	20.2	16.3	24.4
08/09/2011	septembre	2011	ermitage	0	3.5	20	15.5	25.5
09/09/2011	septembre	2011	ermitage	0	2.7	19.6	15.9	24.9
10/09/2011	septembre	2011	ermitage	0	2.2	20.2	15.8	26.9
11/09/2011	septembre	2011	ermitage	0	2	20.4	16.3	26.3
12/09/2011	septembre	2011	ermitage	0	3.1	21.5	16.6	27.6
13/09/2011	septembre	2011	ermitage	0	3.7	NA	16.5	27
14/09/2011	septembre	2011	ermitage	0	3.8	21.2	16.9	27.6
15/09/2011	septembre	2011	ermitage	0	4.1	21.5	16.6	29.5
16/09/2011	septembre	2011	ermitage	0	3.8	20.8	16.6	27.9
17/09/2011	septembre	2011	ermitage	0	2.7	20.9	17.2	26.6
18/09/2011	septembre	2011	ermitage	0	4.5	20.9	17.6	27.9
19/09/2011	septembre	2011	ermitage	0	4.1	20.4	15.7	27
20/09/2011	septembre	2011	ermitage	0	3.9	21.3	16.3	28
21/09/2011	septembre	2011	ermitage	0	4.3	22.7	18.3	29.5
22/09/2011	septembre	2011	ermitage	0	2.2	21.9	18.2	29.1
23/09/2011	septembre	2011	ermitage	0	2.3	21.5	17.2	27.7
24/09/2011	septembre	2011	ermitage	3.5	3.5	21.9	16.8	29.3
25/09/2011	septembre	2011	ermitage	0	4.3	21.4	16.9	26.4
26/09/2011	septembre	2011	ermitage	0	2.3	21.9	17.9	27.3
27/09/2011	septembre	2011	ermitage	0	2.8	21.8	19.8	26.4
28/09/2011	septembre	2011	ermitage	0	2.7	20.7	17	27.2
29/09/2011	septembre	2011	ermitage	0	1.7	20.3	16.4	26.1
30/09/2011	septembre	2011	ermitage	0	3.8	21.9	17.1	28.3
01/10/2011	octobre	2011	ermitage	0	2.4	21.7	18	26.7
02/10/2011	octobre	2011	ermitage	0	3.8	21.9	17	28
03/10/2011	octobre	2011	ermitage	0	5.5	NA	16.9	29.1
04/10/2011	octobre	2011	ermitage	0	2.5	22.7	19.5	28
05/10/2011	octobre	2011	ermitage	0	4.2	22.9	17.9	30.1
06/10/2011	octobre	2011	ermitage	0	4.4	22.9	18.3	30.4
07/10/2011	octobre	2011	ermitage	0	1.3	20.8	16.5	26.3
08/10/2011	octobre	2011	ermitage	0	4.5	20.7	17.2	26.4
09/10/2011	octobre	2011	ermitage	0	3.6	21.2	15.7	27.8
10/10/2011	octobre	2011	ermitage	0	3.7	21.7	17	28.3
11/10/2011	octobre	2011	ermitage	0	3	21.7	17.3	28.3
12/10/2011	octobre	2011	ermitage	0	3.8	22.3	17.5	29.3
13/10/2011	octobre	2011	ermitage	0	3.7	NA	19	28.5
14/10/2011	octobre	2011	ermitage	0	3.9	21.6	18.9	26.6
15/10/2011	octobre	2011	ermitage	0	3.3	21.6	16.7	28.9
16/10/2011	octobre	2011	ermitage	0	2.9	22	17.9	26.9
17/10/2011	octobre	2011	ermitage	0	4.5	22.2	17.4	29.5
18/10/2011	octobre	2011	ermitage	0	4.3	22.7	18	30.3
19/10/2011	octobre	2011	ermitage	0	3.1	23.3	19.4	28.2
20/10/2011	octobre	2011	ermitage	2	3	23	19.8	29.7
21/10/2011	octobre	2011	ermitage	0	2.6	22.2	18.6	29.9
22/10/2011	octobre	2011	ermitage	0.5	2.2	21.8	18.5	27.3
23/10/2011	octobre	2011	ermitage	0	2.2	22.2	17.8	28.2
24/10/2011	octobre	2011	ermitage	0	4.5	23.2	18.3	29.8
25/10/2011	octobre	2011	ermitage	0	4.9	23.9	19.4	30.8
26/10/2011	octobre	2011	ermitage	0	5.1	24.9	20.9	30.1
27/10/2011	octobre	2011	ermitage	0	4.9	24.4	20.4	31.5
28/10/2011	octobre	2011	ermitage	0	5	23.6	21.5	28.2
29/10/2011	octobre	2011	ermitage	0	5	21.9	18.3	26.2
30/10/2011	octobre	2011	ermitage	0	4.2	21.6	18.1	26.2
31/10/2011	octobre	2011	ermitage	0	3.7	22	17.5	28.6
01/11/2011	novembre	2011	ermitage	0	5.1	23	17.1	31.1
