"","date","nouvelles","vivantes","mortes","vivantes_theo","mortes_theo","CD_theo","E_theo","F_theo"
"1",1-08-20,1,1,0,1,0,1,0,0
"2",2-08-20,1,2,0,2,0,2,0,1
"3",2-09-20,1,3,0,2,1,3,0,1
"4",3-08-20,1,4,0,3,1,4,0,3
"5",3-09-20,3,7,0,4,3,7,0,3
"6",3-10-20,0,7,0,4,3,7,0,4
"7",5-09-20,1,8,0,4,4,8,0,7
"8",6-09-20,3,11,0,4,7,10,1,8
"9",7-08-20,5,14,2,8,8,14,2,11
"10",9-09-20,2,12,6,7,11,15,3,16
"11",10-09-20,2,14,6,4,16,16,4,18
"12",11-08-20,2,16,6,4,18,15,7,20
"13",12-07-20,1,15,8,3,20,16,7,22
"14",12-08-20,1,16,8,2,22,16,8,22
"15",13-09-20,1,16,9,3,22,14,11,24
"16",14-09-20,1,13,13,2,24,10,16,25
"17",16-08-20,1,14,13,2,25,9,17,26
"18",18-07-20,2,15,14,3,26,9,18,26
"19",18-08-20,1,14,16,3,27,8,19,25
"20",19-07-20,1,14,17,4,27,8,19,27
"21",20-07-20,1,15,17,2,30,8,17,27
"22",20-08-20,1,15,18,2,31,8,18,24
"23",20-09-20,1,15,19,3,31,8,18,25
"24",21-07-20,1,5,30,3,32,8,16,26
"25",21-08-20,1,5,31,2,34,7,13,23
"26",22-08-20,2,6,32,4,34,8,12,20
"27",23-07-20,2,6,34,4,36,9,11,20
"28",23-08-20,2,6,36,4,38,10,10,18
"29",24-08-20,3,7,38,7,38,12,10,20
"30",25-07-20,1,5,41,4,42,12,10,22
"31",25-08-20,1,5,42,2,45,12,10,21
"32",26-07-20,3,7,43,5,45,14,10,22
"33",26-08-20,2,7,45,5,47,14,11,21
"34",26-09-20,1,7,46,6,47,13,11,23
"35",27-09-20,1,4,50,4,50,12,12,24
"36",28-08-20,1,5,50,2,53,10,14,24
"37",29-07-20,1,5,51,2,54,10,14,24
"38",29-08-20,1,5,52,2,55,10,14,23
"39",30-07-20,6,11,52,8,55,13,16,24
"40",2019-10-06,0,6,57,6,63,11,17,29
