"","date","nouvelles","vivantes","mortes","vivantes_theo","mortes_theo","CD_theo","E_theo","F_theo"
"1",1-08-20,2,2,0,2,0,2,0,0
"2",2-08-20,3,5,0,5,0,5,0,2
"3",3-08-20,1,6,0,4,2,6,0,5
"4",4-08-20,1,7,0,2,5,7,0,6
"5",6-09-20,0,7,0,1,6,7,0,7
"6",7-08-20,1,6,2,1,7,8,0,7
"7",7-09-20,1,7,2,2,7,9,0,7
"8",9-07-20,3,10,2,5,7,10,2,9
"9",9-08-20,3,10,5,6,9,10,5,9
"10",10-07-20,6,16,5,12,9,15,6,15
"11",13-09-20,1,11,11,7,15,15,7,21
"12",14-08-20,3,13,12,4,21,18,7,22
"13",17-08-20,1,11,15,4,22,18,8,25
"14",18-08-20,2,12,16,3,25,19,9,26
"15",19-06-20,2,13,17,4,26,18,12,28
"16",20-08-20,2,13,19,4,28,17,15,30
"17",20-09-20,0,11,21,2,30,11,19,30
"18",22-07-20,1,4,29,3,30,11,17,30
"19",22-08-20,2,5,30,3,32,10,19,27
"20",24-07-20,5,10,30,8,32,14,19,29
"21",24-08-20,1,9,32,6,35,13,21,28
"22",26-09-20,0,9,32,6,35,11,22,34
"23",28-06-20,6,14,33,6,41,15,23,33
"24",28-07-20,4,12,39,10,41,19,20,32
"25",30-07-20,1,9,43,11,41,19,18,39
"26",31-07-20,3,11,44,4,51,20,14,37
"27",2019-10-06,0,8,47,3,55,15,18,34
