"","date","nouvelles","vivantes","mortes","vivantes_theo","mortes_theo","CD_theo","E_theo","F_theo"
"1",1-08-20,1,1,0,1,0,1,0,0
"2",1-09-20,8,9,0,9,0,9,0,0
"3",2-08-20,23,32,0,32,0,32,0,9
"4",2-09-20,2,34,0,25,9,34,0,9
"5",3-08-20,2,36,0,27,9,36,0,34
"6",3-09-20,2,38,0,4,34,38,0,34
"7",3-10-20,0,38,0,4,34,38,0,36
"8",4-07-20,1,35,4,3,36,38,1,38
"9",4-08-20,9,44,4,10,38,39,9,38
"10",4-09-20,11,55,4,21,38,27,32,39
"11",5-07-20,1,53,7,21,39,26,34,59
"12",5-08-20,1,54,7,2,59,25,36,59
"13",5-09-20,3,57,7,5,59,26,38,60
"14",6-07-20,2,59,7,6,60,28,38,64
"15",6-08-20,2,61,7,4,64,29,39,64
"16",6-09-20,15,76,7,19,64,35,48,66
"17",7-08-20,17,62,38,34,66,41,58,83
"18",7-09-20,9,60,49,26,83,49,51,82
"19",8-07-20,1,56,54,27,83,49,29,100
"20",8-08-20,2,57,55,3,109,48,30,77
"21",8-09-20,15,71,56,18,109,61,30,76
"22",9-08-20,1,70,58,18,110,60,30,91
"23",9-09-20,3,73,58,4,127,48,45,89
"24",10-07-20,1,72,60,5,127,32,61,93
"25",10-08-20,3,74,61,4,131,26,61,92
"26",10-09-20,6,79,62,10,131,31,51,84
"27",11-08-20,3,80,64,12,132,32,52,82
"28",11-09-20,12,90,66,15,141,29,66,81
"29",12-08-20,1,88,69,16,141,29,64,95
"30",12-09-20,4,92,69,5,156,30,65,92
"31",13-07-20,3,94,70,8,156,32,64,95
"32",13-09-20,7,98,73,10,161,36,52,96
"33",14-08-20,1,85,87,8,164,31,41,88
"34",15-07-20,3,87,88,4,171,31,35,72
"35",17-09-20,2,87,90,5,172,21,46,66
"36",18-08-20,8,95,90,10,175,28,45,67
"37",19-06-20,1,91,95,9,177,25,34,73
"38",19-07-20,9,100,95,10,185,31,36,58
"39",19-08-20,2,96,101,12,185,26,40,58
"40",20-07-20,1,95,103,12,186,26,40,66
"41",20-08-20,2,97,103,3,197,25,40,65
"42",20-09-20,2,98,104,5,197,25,36,63
"43",21-07-20,2,79,125,6,198,19,41,61
"44",21-08-20,3,80,127,5,202,21,30,58
"45",22-07-20,3,82,128,8,202,15,38,51
"46",22-08-20,2,83,129,5,207,15,36,50
"47",23-07-20,2,84,130,7,207,16,34,51
"48",23-08-20,4,87,131,6,212,18,29,48
"49",24-07-20,2,87,133,8,212,18,30,47
"50",24-08-20,2,87,135,4,218,18,29,46
"51",25-07-20,2,87,137,6,218,17,30,47
"52",25-08-20,1,86,139,3,222,15,25,45
"53",26-07-20,3,89,139,6,222,16,26,40
"54",26-08-20,6,92,142,9,225,20,19,39
"55",26-09-20,3,90,147,12,225,19,21,33
"56",27-07-20,2,66,173,11,228,19,22,40
"57",27-08-20,1,65,175,3,237,18,22,39
"58",28-06-20,2,67,175,5,237,18,22,40
"59",28-07-20,5,71,176,7,240,22,21,38
"60",28-08-20,1,68,180,8,240,20,21,38
"61",29-06-20,2,70,180,8,242,16,24,41
"62",29-07-20,3,71,182,5,248,16,25,38
"63",30-07-20,5,73,185,10,248,19,25,41
"64",31-07-20,4,72,190,9,253,22,22,44
"65",2019-10-06,0,68,194,4,262,20,22,44
