"","date","burstER","burstPS","burstEH"
"1",2017-06-28,0,0,202.505276098915
"2",2017-06-29,0,0,101.252638049458
"3",2017-06-30,0,0,0
"4",2017-07-01,0,0,0
"5",2017-07-02,0,0,0
"6",2017-07-03,0,0,0
"7",2017-07-04,85.1629744766135,0,0
"8",2017-07-05,0,0,101.252638049458
"9",2017-07-06,0,0,101.252638049458
"10",2017-07-07,0,0,0
"11",2017-07-08,0,0,101.252638049458
"12",2017-07-09,0,0,0
"13",2017-07-10,0,155.703100857477,0
"14",2017-07-11,0,0,0
"15",2017-07-12,0,0,0
"16",2017-07-13,0,155.703100857477,101.252638049458
"17",2017-07-14,0,0,0
"18",2017-07-15,0,155.703100857477,202.505276098915
"19",2017-07-16,0,0,0
"20",2017-07-17,0,0,0
"21",2017-07-18,0,0,0
"22",2017-07-19,85.1629744766135,155.703100857477,708.768466346203
"23",2017-07-20,0,0,101.252638049458
"24",2017-07-21,0,0,202.505276098915
"25",2017-07-22,0,0,101.252638049458
"26",2017-07-23,0,0,202.505276098915
"27",2017-07-24,170.325948953227,0,0
"28",2017-07-25,85.1629744766135,0,101.252638049458
"29",2017-07-26,170.325948953227,155.703100857477,0
"30",2017-07-27,0,155.703100857477,101.252638049458
"31",2017-07-28,170.325948953227,0,202.505276098915
"32",2017-07-29,85.1629744766135,0,101.252638049458
"33",2017-07-30,85.1629744766135,0,405.01055219783
"34",2017-07-31,0,0,303.757914148373
"35",2017-08-01,0,0,101.252638049458
"36",2017-08-02,340.651897906454,311.406201714955,1215.03165659349
"37",2017-08-03,0,155.703100857477,101.252638049458
"38",2017-08-04,255.48892342984,467.109302572432,202.505276098915
"39",2017-08-05,0,155.703100857477,0
"40",2017-08-06,0,311.406201714955,0
"41",2017-08-07,255.48892342984,467.109302572432,911.273742445118
"42",2017-08-08,85.1629744766135,155.703100857477,0
"43",2017-08-09,0,0,101.252638049458
"44",2017-08-10,170.325948953227,0,101.252638049458
"45",2017-08-11,85.1629744766135,155.703100857477,0
"46",2017-08-12,85.1629744766135,0,0
"47",2017-08-13,0,0,0
"48",2017-08-14,0,0,0
"49",2017-08-15,0,0,0
"50",2017-08-16,0,0,0
"51",2017-08-17,0,0,0
"52",2017-08-18,170.325948953227,622.81240342991,202.505276098915
"53",2017-08-19,85.1629744766135,155.703100857477,0
"54",2017-08-20,0,155.703100857477,101.252638049458
"55",2017-08-21,85.1629744766135,0,202.505276098915
"56",2017-08-22,0,155.703100857477,101.252638049458
"57",2017-08-23,85.1629744766135,155.703100857477,202.505276098915
"58",2017-08-24,0,0,202.505276098915
"59",2017-08-25,85.1629744766135,0,0
"60",2017-08-26,170.325948953227,0,303.757914148373
"61",2017-08-27,0,155.703100857477,0
"62",2017-08-28,0,155.703100857477,0
"63",2017-08-29,0,0,0
"64",2017-08-30,0,0,0
"65",2017-08-31,0,0,0
"66",2017-09-01,170.325948953227,311.406201714955,202.505276098915
"67",2017-09-02,85.1629744766135,0,101.252638049458
"68",2017-09-03,85.1629744766135,0,101.252638049458
"69",2017-09-04,85.1629744766135,1089.92170600234,303.757914148373
"70",2017-09-05,85.1629744766135,155.703100857477,101.252638049458
"71",2017-09-06,510.977846859681,622.81240342991,506.263190247288
"72",2017-09-07,170.325948953227,467.109302572432,303.757914148373
"73",2017-09-08,85.1629744766135,1557.03100857477,405.01055219783
"74",2017-09-09,0,155.703100857477,202.505276098915
"75",2017-09-10,0,467.109302572432,101.252638049458
"76",2017-09-11,0,622.81240342991,506.263190247288
"77",2017-09-12,0,311.406201714955,202.505276098915
"78",2017-09-13,85.1629744766135,311.406201714955,405.01055219783
"79",2017-09-14,0,0,0
"80",2017-09-15,0,0,0
"81",2017-09-16,0,0,0
"82",2017-09-17,0,311.406201714955,0
"83",2017-09-18,0,0,0
"84",2017-09-19,0,0,0
"85",2017-09-20,85.1629744766135,0,101.252638049458
"86",2017-09-21,0,0,0
"87",2017-09-22,0,0,0
"88",2017-09-23,0,0,0
"89",2017-09-24,0,0,0
"90",2017-09-25,0,0,0
"91",2017-09-26,85.1629744766135,311.406201714955,0
"92",2017-09-27,0,0,0
"93",2017-09-28,0,0,0
"94",2017-09-29,0,0,0
"95",2017-09-30,0,0,0
"96",2017-10-01,0,0,0
"97",2017-10-02,0,0,0
"98",2017-10-03,0,0,0
