"id","ER","PS","EH"
"1",350.013434345257,231.351344983096,180.255269921547
"2",795.10005057277,489.228440223851,402.648066346221
"3",894.756318215343,517.803123826641,442.055993211797
"4",994.099031763375,546.020726391911,481.060901172873
"5",1093.32761685329,574.448305801485,520.326547394095
"6",1192.21404756795,602.155576401202,558.145262835462
"7",1290.93285649517,625.370171706088,570.372425099309
"8",1308.23395970246,635.060369376277,614.946691583466
"9",1324.79401371804,644.75431037281,661.192789909751
"10",1338.68675174108,644.944955722113,678.489232607438
"11",1351.42299689053,644.122221534692,694.197195946563
"12",1363.55897107336,637.686914516665,708.050411756331
"13",1374.71045313394,629.888214172072,719.78359398645
"14",1385.38231433937,621.341470518749,729.87484011408
"15",1488.90959149413,687.464625719247,778.004119487868
"16",1593.99385343331,757.602207786297,827.723810073032
"17",1669.90970906415,762.335937125614,833.529152529249
"18",1463.3314099236,585.371438841374,690.793890498314
"19",1181.0138687294,387.199006190806,510.644847150712
"20",1178.80966349114,364.100249472049,477.795009829932
"21",1200.31806563291,392.521039384285,494.560139792775
"22",1235.02258292269,369.712421902604,523.185241546488
"23",1272.44090527872,340.411056957894,556.067602177364
"24",1308.60667631149,314.702485298896,596.162938280194
"25",1412.44173883372,299.665223912911,612.073629169842
"26",1518.77632619673,284.303144154563,628.247038719056
"27",1628.03646418265,276.025722568775,670.043722294834
"28",1744.5147093201,267.956361827958,717.356108392013
"29",1741.17369897098,281.008167568123,746.437828608751
"30",1701.04838586734,287.142521107849,722.449814652931
"31",1659.44444953567,282.402397281647,699.829855637156
"32",1540.4743486394,236.166571961707,645.555548011787
"33",1417.68420491771,205.900757458555,588.964775587628
"34",1317.24661189859,228.643754229597,580.998649390031
"35",1216.52063684402,228.634003793001,580.150705536424
"36",1114.30029700178,207.447397653366,570.504433435231
"37",1014.08873573691,197.014964471025,554.177304162574
"38",899.876467479308,148.355355700136,500.13373581496
"39",775.812077150817,140.80855173449,707.953006796578
"40",650.772857058783,139.592715591964,926.441319002701
"41",574.955267314316,138.237004587818,1156.65464692463
"42",450.908644584914,136.732863469747,1386.62653072725
"43",327.554983733674,142.695582019401,1657.73891713376
"44",203.965293283418,260.783543846692,1927.88260441249
"45",75.7534426679414,378.479538616727,2195.26551137606
"46",44.7960594378004,475.402126995754,2321.50573321975
"47",44.4698089144187,577.259028869326,2491.60624716248
"48",44.1029553985073,687.52390221724,2661.46406624472
"49",43.6925441007632,781.528217217903,2830.637134649
"50",43.2357388551069,858.466228734378,2999.10385025327
"51",132.513310298485,1350.95726160426,3601.12743271589
"52",274.405209297055,1876.64362037638,4213.31793271137
"53",405.258754280923,1995.73810622705,4513.24853421935
"54",533.187119723882,2113.5667369167,4818.18337569455
"55",658.992032908281,2230.94657224783,5122.05658571073
"56",782.34651804499,2345.99818808793,5198.6981790609
"57",903.102978917624,2398.48227942612,4914.51226055936
"58",936.809016017655,2375.8986185528,4624.44770559869
"59",1006.23716133324,2352.38187621452,4333.66842341156
"60",1004.17633920438,2372.12257047538,4008.47607672111
"61",996.3249382082,2300.72255428094,3682.75507473771
"62",987.669700322308,2172.05421102687,3357.47758972079
"63",978.028211391431,2049.07399942426,3159.29721437359
"64",967.34124825426,1925.99412391779,2961.86290044451
"65",955.554068238571,1802.30836387673,2762.37625902015
"66",942.617734571199,1678.31078620099,2561.10694940519
"67",928.490457283938,1554.25237396027,2358.06239287073
"68",851.602933005239,1201.89964930563,1795.07880015996
"69",757.279288719311,876.329772241281,1219.49714520994
"70",634.722507113957,748.390105896972,908.171312414936
"71",516.557248541828,631.140642474632,604.366634390531
"72",401.364982916488,514.568132602709,302.776394452442
"73",289.446520127485,400.054835769103,9.41777802889572
"74",180.968513298183,336.053688022613,0
"75",113.606050040013,332.47046343897,0
"76",49.8898823586813,328.527721616468,0
"77",44.3051146902375,282.489081825262,0
"78",43.8296284762777,234.746940168282,0
"79",43.3037341453838,231.869917140554,0
"80",42.7250437529107,228.707266370657,0
