"","burstER","burstPS","burstEH"
"1",0,396.56143227013,471.785682155544
"2",0,403.051970604993,476.836334384173
"3",0,50.2124949508405,38.4778746763223
"4",0,45.5501779693476,31.19507755659
"5",0,48.5920261105049,32.6172862445741
"6",0,50.3035300837323,33.6285769960323
"7",0,53.5842069590923,36.062512463825
"8",0,97.2507098130598,13.2022873837549
"9",0,99.7881609456923,14.0685759948329
"10",0,102.05944192305,14.9540494153128
"11",0,104.03787255579,16.3507909277538
"12",0,106.000984734844,17.7509755998918
"13",0,107.357893412139,19.180289310874
"14",0,109.630169862165,20.6515906409867
"15",0,210.015888923882,61.7926243897099
"16",0,214.68686041731,63.9439312232231
"17",0,210.128047898111,66.634747119495
"18",0,214.450083885125,68.0682904106327
"19",0,219.730113031039,69.1633003482158
"20",0,221.898792034749,70.5285407356105
"21",0,224.070306563757,74.1621629161739
"22",0,225.468997408731,37.7601049822722
"23",0,227.714985326465,38.2525482113444
"24",0.537499580281068,229.742715360523,36.9884106687393
"25",4.46415953514225,232.112484248507,37.7891325245577
"26",5.1047550299732,235.165705566227,38.1470863527907
"27",5.69385094373717,237.176769955975,39.1387827995362
"28",2.237235950936,199.567014385591,39.0521034025732
"29",2.2971219729723,0,40.302130017703
"30",1.62539517224866,0,371.841306825612
"31",0,0,202.820397395864
"32",10.0548786666564,0,0
"33",12.4828933197511,0,0
"34",12.7196467295765,0,0
"35",12.8936611809726,0,0
"36",13.0291637476959,0,0
"37",11.5655241109232,0,0
"38",11.609008762259,0,0
"39",10.3511070826424,0,0
"40",10.382084303239,0,0
"41",10.3563846992168,0,0
"42",10.2960711281622,0,0
"43",26.5596576410988,0,0
"44",26.8795892478279,0,0
"45",26.9118566193048,0,0
"46",32.5635990291425,0,0
"47",32.618242772745,0,0
"48",32.7858656387447,0,0
"49",32.717707889245,0,0
"50",32.9693679795035,0,0
"51",123.582133674072,0,0
"52",125.968340496196,0,0
"53",118.816895680448,0,0
"54",21.1339565786472,0,0
"55",0,0,0
"56",0,0,0
"57",0,0,0
"58",0,0,0
"59",0,0,0
"60",0,0,0
"61",0,0,0
"62",0,0,0
"63",0,0,0
"64",0,0,0
"65",0,0,0
"66",0,0,0
"67",0,0,0
"68",0,33.7966233634298,0
"69",0,77.2204723478614,0
"70",0,73.7589564409396,0
"71",0,23.1994902581156,0
"72",0,18.4693248743985,0
"73",0,15.0184323408985,0
"74",0,4.46427821261392,0
"75",0,0,0
"76",0,0,0
"77",0,0,0
"78",0,0,0
"79",0,0,7.45744158356038
"80",0,0,36.9824866595535
