days;alive;dead;new;alive_theo;stadeC_theo;stadeE_theo;stadeF_theo;dead_theo
2018-06-28; 2; 0; 2; 2; 2; 0; 0; 0
2018-06-29; 3; 0; 1; 3; 3; 0; 0; 0
2018-06-30; 3; 0; 0; 3; 3; 0; 0; 0
2018-07-01; 3; 0; 0; 3; 3; 0; 0; 0
2018-07-02; 3; 0; 0; 3; 3; 0; 0; 0
2018-07-03; 3; 0; 0; 3; 3; 0; 0; 0
2018-07-04; 3; 0; 0; 3; 3; 0; 0; 0
2018-07-05; 4; 0; 1; 4; 2; 2; 0; 0
2018-07-06; 5; 0; 1; 5; 2; 3; 0; 0
2018-07-07; 5; 0; 0; 5; 2; 3; 0; 0
2018-07-08; 6; 0; 1; 6; 3; 3; 0; 0
2018-07-09; 6; 0; 0; 6; 3; 3; 0; 0
2018-07-10; 6; 0; 0; 6; 3; 3; 0; 0
2018-07-11; 6; 0; 0; 6; 3; 3; 0; 0
2018-07-12; 6; 0; 0; 6; 2; 4; 0; 0
2018-07-13; 7; 0; 1; 7; 2; 5; 0; 0
2018-07-14; 7; 0; 0; 7; 2; 3; 2; 0
2018-07-15; 9; 0; 2; 9; 3; 3; 3; 0
2018-07-16; 9; 0; 0; 9; 3; 3; 3; 0
2018-07-17; 9; 0; 0; 9; 3; 3; 3; 0
2018-07-18; 9; 0; 0; 9; 3; 3; 3; 0
2018-07-19;16; 0; 7;16;10; 3; 3; 0
2018-07-20;17; 0; 1;17;10; 4; 3; 0
2018-07-21;19; 0; 2;19;12; 3; 4; 0
2018-07-22;20; 0; 1;20;11; 4; 5; 0
2018-07-23;22; 0; 2;22;13; 4; 5; 0
2018-07-24;22; 0; 0;22;13; 3; 6; 0
2018-07-25;23; 0; 1;23;14; 3; 6; 0
2018-07-26;23; 0; 0;23; 7;10; 6; 0
2018-07-27;24; 0; 1;24; 7;11; 6; 0
2018-07-28;26; 0; 2;26; 7;13; 6; 0
2018-07-29;27; 0; 1;27; 7;13; 7; 0
2018-07-30;31; 0; 4;31; 9;15; 7; 0
2018-07-31;34; 0; 3;34;12;13; 9; 0
2018-08-01;35; 0; 1;35;12;14; 9; 0
2018-08-02;47; 0;12;47;24;14; 9; 0
2018-08-03;48; 0; 1;48;24;15; 9; 0
2018-08-04;50; 0; 2;50;24;10;16; 0
2018-08-05;50; 0; 0;50;23;10;17; 0
2018-08-06;50; 0; 0;50;19;12;19; 0
2018-08-07;59; 0; 9;59;25;14;20; 0
2018-08-08;59; 0; 0;59;24;13;22; 0
2018-08-09;60; 0; 1;60;13;25;22; 0
2018-08-10;61; 0; 1;61;13;25;23; 0
2018-08-11;61; 0; 0;61;11;27;23; 0
2018-08-12;61; 0; 0;61;11;26;24; 0
2018-08-13;61; 0; 0;61;11;24;26; 0
2018-08-14;61; 0; 0;61; 2;32;27; 0
2018-08-15;61; 0; 0;61; 2;28;31; 0
2018-08-16;61; 0; 0;61; 1;26;34; 0
2018-08-17;61; 0; 0;59; 0;26;33; 2
2018-08-18;63; 0; 2;60; 2;14;44; 3
2018-08-19;63; 0; 0;60; 2;13;45; 3
2018-08-20;64; 0; 1;61; 3;11;47; 3
2018-08-21;66; 0; 2;63; 5;11;47; 3
2018-08-22;67; 0; 1;64; 6;11;47; 3
2018-08-23;69; 0; 2;66; 8; 2;56; 3
2018-08-24;71; 0; 2;67;10; 2;55; 4
2018-08-25;71; 0; 0;66; 8; 3;55; 5
2018-08-26;74; 0; 3;69;11; 2;56; 5
2018-08-27;74; 0; 0;68;10; 3;55; 6
2018-08-28;74; 0; 0;68; 8; 5;55; 6
2018-08-29;74; 0; 0;68; 7; 6;55; 6
2018-08-30;74; 0; 0;68; 5; 8;55; 6
2018-08-31;74; 0; 0;68; 3;10;55; 6
2018-09-01;76; 0; 2;69; 5;10;54; 7
2018-09-02;77; 0; 1;70; 3;13;54; 7
2018-09-03;78; 0; 1;69; 4;11;54; 9
2018-09-04;81; 0; 3;72; 7;11;54; 9
2018-09-05;82; 0; 1;73; 8;10;55; 9
2018-09-06;54;33; 5;78;13; 8;57; 9
2018-09-07;57;33; 3;74;16; 7;51;16
2018-09-08;61;33; 4;77;18; 7;52;17
2018-09-09;63;33; 2;77;19; 6;52;19
2018-09-10;64;33; 1;77;19; 7;51;20
2018-09-11;69;33; 5;80;21; 7;52;22
2018-09-12;71;33; 2;82;22; 8;52;22
2018-09-13;61;47; 4;85;21;13;51;23
2018-09-14;61;47; 0;85;18;16;51;23
2018-09-15;61;47; 0;84;14;20;50;24
2018-09-16;61;47; 0;82;12;22;48;26
2018-09-17;61;47; 0;81;11;21;49;27
2018-09-18;61;47; 0;77; 6;25;46;31
2018-09-19;61;47; 0;74; 4;26;44;34
2018-09-20;55;54; 1;74; 1;27;46;35
2018-09-21;55;54; 0;62; 1;26;35;47
2018-09-22;55;54; 0;61; 1;21;39;48
2018-09-23;55;54; 0;59; 1;18;40;50
2018-09-24;55;54; 0;59; 1;14;44;50
2018-09-25;55;54; 0;59; 1;12;46;50
2018-09-26;39;70; 0;50; 1;11;38;59
2018-09-27;39;70; 0;50; 0; 7;43;59
2018-09-28;39;70; 0;49; 0; 5;44;60
2018-09-29;39;70; 0;48; 0; 1;47;61
2018-09-30;39;70; 0;48; 0; 1;47;61
2018-10-01;39;70; 0;48; 0; 1;47;61
2018-10-02;39;70; 0;48; 0; 1;47;61
2018-10-03;26;83; 0;48; 0; 1;47;61
