days;alive;dead;new;alive_theo;stadeC_theo;stadeE_theo;stadeF_theo;dead_theo
2018-07-12; 1; 0;1; 1; 1; 0; 0; 0
2018-07-13; 1; 0;0; 1; 1; 0; 0; 0
2018-07-14; 1; 0;0; 1; 1; 0; 0; 0
2018-07-15; 1; 0;0; 1; 1; 0; 0; 0
2018-07-16; 1; 0;0; 1; 1; 0; 0; 0
2018-07-17; 1; 0;0; 1; 1; 0; 0; 0
2018-07-18; 3; 0;2; 3; 3; 0; 0; 0
2018-07-19; 4; 0;1; 4; 3; 1; 0; 0
2018-07-20; 5; 0;1; 5; 4; 1; 0; 0
2018-07-21; 6; 0;1; 6; 5; 1; 0; 0
2018-07-22; 6; 0;0; 6; 5; 1; 0; 0
2018-07-23; 8; 0;2; 8; 7; 1; 0; 0
2018-07-24; 8; 0;0; 8; 7; 1; 0; 0
2018-07-25; 9; 0;1; 9; 6; 3; 0; 0
2018-07-26;12; 0;3;12; 8; 4; 0; 0
2018-07-27;12; 0;0;12; 7; 5; 0; 0
2018-07-28;12; 0;0;12; 6; 5; 1; 0
2018-07-29;13; 0;1;13; 7; 5; 1; 0
2018-07-30;18; 0;5;18;10; 7; 1; 0
2018-07-31;18; 0;0;18;10; 7; 1; 0
2018-08-01;19; 0;1;19;10; 8; 1; 0
2018-08-02;20; 0;1;20; 8;11; 1; 0
2018-08-03;21; 0;1;21; 9; 9; 3; 0
2018-08-04;21; 0;0;21; 9; 8; 4; 0
2018-08-05;21; 0;0;21; 8; 8; 5; 0
2018-08-06;21; 0;0;21; 3;12; 6; 0
2018-08-07;26; 0;5;26; 8;12; 6; 0
2018-08-08;26; 0;0;26; 7;11; 8; 0
2018-08-09;26; 0;0;26; 6;12; 8; 0
2018-08-10;26; 0;0;26; 5;12; 9; 0
2018-08-11;28; 0;2;28; 7; 9;12; 0
2018-08-12;29; 0;1;29; 8; 9;12; 0
2018-08-13;29; 0;0;29; 8; 9;12; 0
2018-08-14;29; 0;0;29; 3;13;13; 0
2018-08-15;29; 0;0;29; 3; 8;18; 0
2018-08-16;30; 0;1;30; 4; 8;18; 0
2018-08-17;30; 0;0;30; 4; 7;19; 0
2018-08-18;31; 0;1;31; 3; 8;20; 0
2018-08-19;31; 0;0;31; 2; 8;21; 0
2018-08-20;32; 0;1;32; 3; 8;21; 0
2018-08-21;33; 0;1;33; 4; 8;21; 0
2018-08-22;35; 0;2;35; 6; 8;21; 0
2018-08-23;37; 0;2;37; 7; 4;26; 0
2018-08-24;40; 0;3;40;10; 4;26; 0
2018-08-25;41; 0;1;41;10; 5;26; 0
2018-08-26;43; 0;2;43;12; 5;26; 0
2018-08-27;43; 0;0;43;11; 4;28; 0
2018-08-28;44; 0;1;44;11; 4;29; 0
2018-08-29;45; 0;1;45;10; 6;29; 0
2018-08-30;45; 0;0;45; 8; 8;29; 0
2018-08-31;45; 0;0;44; 5;11;28; 1
2018-09-01;45; 0;0;44; 4;11;29; 1
2018-09-02;46; 0;1;45; 3;13;29; 1
2018-09-03;48; 0;2;47; 5;12;30; 1
2018-09-04;48; 0;0;47; 4;13;30; 1
2018-09-05;49; 0;1;48; 4;13;31; 1
2018-09-06;35;17;3;49; 7;12;30; 3
2018-09-07;35;17;0;48; 7;10;31; 4
2018-09-08;35;17;0;47; 7; 8;32; 5
2018-09-09;37;17;2;48; 8; 6;34; 6
2018-09-10;38;17;1;49; 7; 7;35; 6
2018-09-11;38;17;0;47; 7; 5;35; 8
2018-09-12;38;17;0;47; 6; 6;35; 8
2018-09-13;26;30;1;47; 4; 8;35; 9
2018-09-14;27;30;1;45; 5; 7;33;12
2018-09-15;27;30;0;45; 5; 7;33;12
2018-09-16;27;30;0;45; 3; 9;33;12
2018-09-17;27;30;0;44; 2;10;32;13
2018-09-18;27;30;0;39; 2; 9;28;18
2018-09-19;27;30;0;39; 2; 7;30;18
2018-09-20;13;45;1;39; 2; 8;29;19
2018-09-21;13;45;0;38; 1; 8;29;20
2018-09-22;13;45;0;37; 1; 5;31;21
2018-09-23;13;45;0;37; 1; 5;31;21
2018-09-24;13;45;0;37; 1; 5;31;21
2018-09-25;13;45;0;37; 1; 3;33;21
2018-09-26; 9;50;1;33; 2; 2;29;26
2018-09-27;10;50;1;34; 2; 3;29;26
2018-09-28;10;50;0;34; 2; 3;29;26
2018-09-29;10;50;0;34; 2; 2;30;26
2018-09-30;10;50;0;32; 2; 1;29;28
2018-10-01;10;50;0;31; 2; 1;28;29
2018-10-02;10;50;0;31; 2; 1;28;29
2018-10-03; 6;54;0;31; 1; 2;28;29
