"","burstER","burstPS","burstEH"
"1",350.013434345257,231.351344983096,180.255269921547
"2",453.049468042503,263.140368865509,226.493627599744
"3",111.412927832531,35.5193987391225,45.3072883315103
"4",105.417607552418,31.2152768845341,41.8305918285135
"5",106.141469898015,31.791277889606,42.4598732623674
"6",106.884199842013,31.5831749410784,41.5139041824562
"7",107.927983142661,27.6403869947228,16.444664672369
"8",27.8621213986607,14.6356609240442,48.8191157730509
"9",26.7692299615525,14.9937443640768,51.7809367362554
"10",25.3583632820952,6.150772241277,23.6324318069948
"11",25.5451992602731,5.63795948726839,22.2154016862268
"12",26.4147395079291,0.725792502498875,21.0924013232628
"13",27.0078057921695,0,19.7571068077092
"14",28.1891443201888,0,18.9398748463416
"15",122.800761880328,75.4595353180211,57.8548385505553
"16",128.315214946084,82.0023208171615,61.264141439996
"17",101.530067939712,17.8869887330277,18.558375145393
"18",102.335446055789,22.0310349759091,15.2282343101697
"19",104.748984086647,22.7919588618195,12.3390155432432
"20",102.96824259332,10.2214083474997,10.1079073290436
"21",121.161287509604,57.7522883484563,56.5701842392278
"22",134.778742558772,7.84733839047844,69.7204379136405
"23",137.862802696903,0,73.3955486521227
"24",137.015789076753,0,60.480888822269
"25",139.759613754866,0,62.5291354368215
"26",142.57200716958,0,65.0406874963143
"27",145.704173814127,0,67.8495593231891
"28",154.583664994202,0,72.6418849993019
"29",37.244431269194,17.3907008935787,54.0484683190053
"30",0,10.6097084105495,0
"31",0,0,0
"32",0,19.3635791985037,0
"33",0,39.8755490376693,0
"34",0,40.4803483546195,13.7429756636945
"35",0,21.0779817530816,18.7874355454767
"36",0,0,8.20156997785045
"37",0,0,0
"38",0,0,0
"39",0,0,272.002546161308
"40",0,0,291.0553163979
"41",46.8204899996783,0,293.043058136382
"42",0,0,295.136924135955
"43",0,7.62321967498104,339.080436294449
"44",0,120.085365012248,342.204987334458
"45",0,122.453075261575,344.486337810598
"46",0,116.397686724677,189.671825032171
"47",0,116.150274050872,188.374033963189
"48",0,116.606367773691,190.658503721147
"49",0,116.80830647093,192.830082247214
"50",0,116.824906443029,195.247652936952
"51",89.7834287305238,533.106536317362,643.264993020593
"52",144.491810860389,560.456764846113,671.037358038544
"53",135.123537981079,140.00994342818,356.263343197295
"54",132.693928688146,132.549291974503,353.73502886676
"55",131.280378507125,133.986198237296,358.283971283342
"56",129.65113639265,133.91811097303,356.009337291536
"57",127.968469433599,73.7874200181897,11.4370541911746
"58",79.5960141235222,0,0
"59",76.7765951831668,0,0
"60",6.26276991103368,51.8707583158306,0
"61",0,54.8163885256734,0
"62",0,0,0
"63",0,0,0
"64",0,0,0
"65",0,0,0
"66",0,0,0
"67",0,0,0
"68",10.6783573374194,106.459690106283,0
"69",36.9101992854316,148.996107969597,0
"70",0,0,0
"71",0,0,0
"72",0,0,0
"73",0,0,0
"74",0,0,0
"75",0,0,0
"76",0,0,0
"77",0,0,0
"78",0,0,0
"79",0,0,0
"80",0,0,0
