"","V1","V2","V3"
"1",222.167359104246,209.771582773234,1021.63399145434
"2",221.842486395821,209.410407876397,982.855779716675
"3",221.838869466831,209.197163203694,981.56639602273
"4",221.462521864169,208.971753731269,910.385831872725
"5",221.104560199393,208.849411114969,917.741224143904
"6",368.959290681576,204.247157997647,772.688487855549
"7",442.861302925471,200.528399888284,749.938145272531
"8",590.641222192458,252.481923676761,685.38000651738
"9",590.441862728294,265.581411858291,749.387402869432
"10",736.712362780937,217.799715167097,840.891791894358
"11",810.797244762671,175.092212026361,910.130616841219
"12",884.619031953837,126.528367015331,1185.54472134543
"13",884.199757321563,78.2800384083296,1387.78539791373
"14",808.625756936179,36.3130250495528,1453.02453977014
"15",1102.59730889067,98.5180425969568,2283.31328737991
"16",1101.76582919777,112.698353023641,2352.06855725966
"17",1324.17427437923,230.971048027204,2490.75253902499
"18",1324.02310597585,236.61891743034,2485.88282766069
"19",1323.95711494933,310.806667627848,2484.83036721408
"20",1545.14720113806,428.354488719149,3104.88731573326
"21",1615.20821036619,469.923618672337,3100.02451298674
"22",1610.9622377067,428.976232624071,3168.68389571311
"23",1757.05994719099,380.135875826173,3165.85176590055
"24",1829.09315444073,384.967057975711,3165.02488307485
"25",1866.88119655078,337.754341128948,3163.22171563551
"26",1790.77428857275,311.755540294706,3162.15225248365
"27",1734.21831118055,292.009300535727,3161.87061485105
"28",1651.26250111123,280.935059788467,3161.48682650605
"29",1577.66802376989,271.575308478903,3160.83905366869
"30",1484.87735647767,271.507507391958,3160.7695558852
"31",1541.81612307346,481.516182796577,3229.78281827882
"32",1538.42756306436,529.689999245944,3229.68802832815
"33",1471.52479107622,581.675664103037,3298.95360530145
"34",1477.05259140175,581.305413779438,3437.73332762013
"35",1383.77637664777,633.842843655664,3506.39904817673
"36",1428.57920959908,686.452214647969,3640.77320681377
"37",1336.92178167625,686.161876169994,3778.49914020354
"38",1332.2720515536,685.830858179558,3778.4597178589
"39",1431.57785451999,685.720555113769,3985.51851320584
"40",1364.44074921351,738.245756684564,3915.95178605624
"41",1355.19064600882,790.877882800598,3915.90975856816
"42",1345.18979623239,790.876367510971,3915.29871888477
"43",892.006854203372,580.319827651664,3567.74057447648
"44",892.006854203372,580.319827651664,3359.46118086126
"45",1040.29976829893,685.598031917085,3498.31410993807
"46",1114.44622534671,685.598031917085,3567.74057447648
"47",1188.59268239449,685.598031917085,3637.16703901489
"48",1262.73913944227,1054.07174684606,3845.44643263011
"49",1336.88559649005,1106.71084897877,3914.87289716852
"50",1336.88559649005,1159.34995111148,3290.03471632285
"51",1485.17851058561,1317.26725750961,3498.31410993807
"52",1559.32496763339,1843.65827883672,3776.0199680917
"53",1559.32496763339,1896.29738096943,3845.44643263011
"54",1559.32496763339,2054.21468736756,3914.87289716852
"55",1559.32496763339,2264.7710958984,4262.00521986056
"56",1559.32496763339,2370.04930016382,4400.85814893737
"57",1188.59268239449,2264.7710958984,4192.57875532215
"58",1188.59268239449,2212.13199376569,4123.15229078374
"59",1188.59268239449,2212.13199376569,4123.15229078374
"60",1188.59268239449,2212.13199376569,4053.72582624533
"61",1188.59268239449,2317.41019803111,4053.72582624533
"62",1188.59268239449,2317.41019803111,4053.72582624533
"63",966.153311251152,2001.57558523485,2873.47592909241
"64",1040.29976829893,2001.57558523485,2942.90239363081
"65",1040.29976829893,2001.57558523485,2942.90239363081
"66",1040.29976829893,2001.57558523485,2942.90239363081
"67",1040.29976829893,2001.57558523485,2942.90239363081
"68",1040.29976829893,2001.57558523485,2942.90239363081
"69",1040.29976829893,2001.57558523485,2942.90239363081
"70",447.128111916692,1633.10187030588,2040.35835463152
"71",0,0,0
"72",0,0,0
"73",0,0,0
"74",0,0,0
"75",0,0,0
"76",0,0,0
"77",0,0,0
