Date	Piege	Nbad	Bourgeons	FlorC	FlorD	FlorE	FlorF	FlorG	VegC	VegD	VegE	VegF	VegG
16/08/2012	A1	1	NA	0	0	0	0	0	0	0	0	0	0
16/08/2012	B1	0	NA	0	0	0	0	0	0	0	0	0	0
16/08/2012	C1	0	NA	0	0	0	0	0	0	0	0	0	0
16/08/2012	A2	0	NA	0	0	0	0	0	0	0	0	0	0
16/08/2012	B2	35	NA	0	0	0	0	100	0	0	0	0	0
16/08/2012	C2	0	NA	0	3	0	5	0	0	0	0	0	0
16/08/2012	A3	1	NA	0	0	50	15	0	0	0	0	0	0
16/08/2012	B3	0	NA	0	0	0	0	100	0	0	0	0	0
16/08/2012	C3	0	NA	0	0	0	0	0	0	0	0	0	0
20/08/2012	A1	0	NA	0	0	0	0	0	0	0	0	0	0
20/08/2012	B1	0	NA	0	0	0	0	0	0	0	0	0	0
20/08/2012	C1	0	NA	0	0	0	0	0	0	0	0	0	0
20/08/2012	A2	0	NA	0	0	0	0	0	0	0	0	0	6
20/08/2012	B2	6	NA	0	0	0	0	100	0	0	0	0	0
20/08/2012	C2	0	NA	0	0	0	0	0	0	0	0	0	0
20/08/2012	A3	0	NA	0	0	30	20	10	0	0	0	0	0
20/08/2012	B3	0	NA	0	0	0	0	0	0	0	0	0	0
20/08/2012	C3	0	NA	0	0	0	0	100	0	0	0	0	0
23/08/2012	A1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
23/08/2012	B1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
23/08/2012	C1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
23/08/2012	A2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
23/08/2012	B2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
23/08/2012	C2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
23/08/2012	A3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
23/08/2012	B3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
23/08/2012	C3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
27/08/2012	A1	0	NA	0	1	0	0	0	0	0	0	0	NA
27/08/2012	B1	0	NA	0	0	0	0	0	0	0	0	0	NA
27/08/2012	C1	0	NA	0	0	0	0	0	0	0	0	0	NA
27/08/2012	A2	0	NA	0	0	0	0	0	0	0	0	0	NA
27/08/2012	B2	8	NA	0	0	0	0	100	0	0	0	0	NA
27/08/2012	C2	0	NA	0	0	0	5	0	0	0	0	0	NA
27/08/2012	A3	2	NA	0	0	0	0	50	0	0	0	0	NA
27/08/2012	B3	0	NA	0	0	0	0	50	0	0	0	0	NA
27/08/2012	C3	0	NA	0	0	0	0	0	0	0	0	0	NA
30/08/2012	A1	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
30/08/2012	B1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
30/08/2012	C1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
30/08/2012	A2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
30/08/2012	B2	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
30/08/2012	C2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
30/08/2012	A3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
30/08/2012	B3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
30/08/2012	C3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
03/09/2012	A1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
03/09/2012	B1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
03/09/2012	C1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
03/09/2012	A2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
03/09/2012	B2	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
03/09/2012	C2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
03/09/2012	A3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
03/09/2012	B3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
03/09/2012	C3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
06/09/2012	A1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
06/09/2012	B1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
06/09/2012	C1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
06/09/2012	A2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
06/09/2012	B2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
06/09/2012	C2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
06/09/2012	A3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
06/09/2012	B3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
06/09/2012	C3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10/09/2012	A1	0	0	0	4	0	0	0	0	0	0	0	0
10/09/2012	B1	0	0	0	0	0	0	0	0	0	0	0	0
10/09/2012	C1	0	0	0	0	0	0	0	0	0	0	0	0
10/09/2012	A2	2	0	0	0	0	0	0	0	0	0	0	0
10/09/2012	B2	2	0	0	0	0	0	0	0	0	0	0	0
10/09/2012	C2	0	0	0	0	0	0	0	0	0	0	0	0
10/09/2012	A3	0	0	0	0	0	0	0	0	0	0	0	0
10/09/2012	B3	0	0	0	0	0	0	0	0	0	0	0	0
10/09/2012	C3	0	0	0	0	0	0	0	0	0	0	0	0
17/09/2012	A1	0	0	2	10	0	1	0	0	0	0	0	0
17/09/2012	B1	0	0	0	0	0	0	0	0	0	0	0	0
17/09/2012	C1	0	0	0	0	0	0	0	0	0	0	0	0
17/09/2012	A2	1	0	0	0	0	0	0	0	0	0	0	0
17/09/2012	B2	0	0	0	0	0	0	0	0	0	0	0	0
17/09/2012	C2	0	0	3	0	0	0	0	0	0	0	0	0
17/09/2012	A3	0	0	1	5	5	0	0	0	0	0	0	0
17/09/2012	B3	0	0	0	0	0	0	0	0	0	0	0	0
17/09/2012	C3	0	0	0	0	0	0	0	0	0	0	0	0
24/09/2012	A1	0	5	0	0	0	6	0	0	0	0	0	0
24/09/2012	B1	0	10	10	5	0	0	0	0	0	0	0	0
24/09/2012	C1	0	1	3	10	0	0	0	0	0	0	0	0
24/09/2012	A2	0	0	0	0	0	0	0	0	0	0	0	0
24/09/2012	B2	2	5	5	0	0	0	0	0	0	0	0	0
24/09/2012	C2	0	3	2	0	0	0	0	0	0	0	0	0
24/09/2012	A3	0	1	10	10	10	0	0	0	0	0	0	0
24/09/2012	B3	0	0	0	0	0	0	0	0	0	0	0	0
24/09/2012	C3	0	0	0	0	0	0	0	0	0	0	0	0
02/10/2012	A1	0	0	5	20	5	10	0	0	0	0	0	0
02/10/2012	B1	0	0	10	30	0	0	0	0	0	0	0	0
02/10/2012	C1	0	0	4	3	0	0	0	0	0	0	0	0
02/10/2012	A2	0	0	10	25	15	0	0	0	0	0	0	0
02/10/2012	B2	1	0	5	30	0	0	0	0	0	0	0	0
02/10/2012	C2	0	0	30	10	0	0	2	0	0	0	0	0
02/10/2012	A3	0	0	0	15	60	15	0	0	0	0	0	0
02/10/2012	B3	0	0	0	0	0	0	0	0	0	0	0	0
02/10/2012	C3	0	0	0	0	0	0	0	0	0	0	0	0
