date,larves,inflos_vivantes,inflos_mortes,Bloc,Sol
2017-09-24,505.3416666666667,1144.15,229.07500000000002,Bloc 1,Enherbement ras
2017-09-25,505.3416666666667,1260.525,229.07500000000002,Bloc 1,Enherbement ras
2017-09-26,505.3416666666667,1376.9,229.07500000000002,Bloc 1,Enherbement ras
2017-09-27,37.56666666666667,1259.3000000000002,411.6000000000001,Bloc 1,Enherbement ras
2017-09-28,37.56666666666667,1141.7,411.6000000000001,Bloc 1,Enherbement ras
2017-09-29,37.56666666666667,1024.1000000000001,411.6000000000001,Bloc 1,Enherbement ras
2017-09-30,28.583333333333336,959.1750000000002,248.675,Bloc 1,Enherbement ras
2017-10-01,28.583333333333336,894.2500000000001,248.675,Bloc 1,Enherbement ras
2017-10-02,28.583333333333336,829.325,248.675,Bloc 1,Enherbement ras
2017-10-03,28.583333333333336,764.4000000000001,248.675,Bloc 1,Enherbement ras
2017-10-04,11.76,592.9000000000001,462.23333333333335,Bloc 1,Enherbement ras
2017-10-05,11.76,421.40000000000003,462.23333333333335,Bloc 1,Enherbement ras
2017-10-06,11.76,249.9,462.23333333333335,Bloc 1,Enherbement ras
