"";"date";"larves";"inflos_vivantes";"inflos_mortes";"larves_inflos"
"1";2017-07-18;24;142;0;0,169014084507042
"2";2017-07-21;452;258;0;1,75193798449612
"3";2017-07-25;1207;413;0;2,9225181598063
"4";2017-07-28;1194;458;0;2,60698689956332
"5";2017-08-01;1911;519;0;3,68208092485549
"6";2017-08-04;1554;587;0;2,6473594548552
"7";2017-08-08;1834;678;0;2,70501474926254
"8";2017-08-11;1287;610;77;2,10983606557377
"9";2017-08-15;1900;519;180;3,66088631984586
"10";2017-08-18;1429;1044;183;1,36877394636015
"11";2017-08-22;1528;1002;240;1,5249500998004
"12";2017-08-25;1817;903;525;2,01218161683278
"13";2017-08-29;5089;1906;649;2,66998950682057
"14";2017-09-01;5363;2785;602;1,92567324955117
"15";2017-09-05;8478;3327;239;2,54824165915239
"16";2017-09-08;15028;4626;254;3,24859489840035
"17";2017-09-12;21962;5725;485;3,83615720524017
"18";2017-09-15;16932;5094;401;3,32391048292108
"19";2017-09-19;26460;5291;609;5,000945000945
"20";2017-09-22;36817;4431;283;8,30895960279847
"21";2017-09-26;22229;5062;401;4,39134729355986
"22";2017-09-29;14580;3564;478;4,09090909090909
"23";2017-10-03;1885;2472;1339;0,762540453074434
"24";2017-10-06;134;1567;878;0,0855137204850032
