"";"date";"larves";"inflos_vivantes";"inflos_mortes";"larves_inflos"
"1";2017-07-18;50;635;0;0,0791901012373453
"2";2017-07-19;365;697;0;0,523672883787661
"3";2017-07-20;379;759;0;0,499341238471673
"4";2017-07-21;392;821;0;0,477466504263094
"5";2017-07-22;406;884;0;0,459276018099547
"6";2017-07-23;419;946;0;0,44291754756871
"7";2017-07-24;433;1008;0;0,429563492063492
"8";2017-07-25;446;1070;0;0,416822429906542
"9";2017-07-26;595;1152;0;0,516493055555556
"10";2017-07-27;744;1234;0;0,60291734197731
"11";2017-07-28;893;1316;0;0,678571428571429
"12";2017-07-29;1042;1399;0;0,74481772694782
"13";2017-07-30;1191;1481;0;0,804186360567184
"14";2017-07-31;1340;1563;0;0,857325655790147
"15";2017-08-01;1489;1645;0;0,90516717325228
"16";2017-08-02;1740;1794;0;0,969899665551839
"17";2017-08-03;1992;1944;0;1,02469135802469
"18";2017-08-04;2243;2093;0;1,07166746297181
"19";2017-08-05;2494;2242;0;1,11239964317574
"20";2017-08-06;2745;2391;0;1,14805520702635
"21";2017-08-07;2997;2541;0;1,17945690672963
"22";2017-08-08;3248;2690;0;1,20743494423792
"23";2017-08-09;3432;2833;31;1,21143663960466
"24";2017-08-10;3617;2976;62;1,21538978494624
"25";2017-08-11;3802;3119;93;1,2189804424495
"26";2017-08-12;3986;3262;124;1,22194972409565
"27";2017-08-13;4170;3406;155;1,22431004110393
"28";2017-08-14;4355;3549;186;1,22710622710623
"29";2017-08-15;4540;3692;217;1,2296858071506
"30";2017-08-16;4724;3835;248;1,23181225554107
"31";2017-08-17;6048;4910;514;1,23177189409369
"32";2017-08-18;7371;5985;780;1,23157894736842
"33";2017-08-19;7889;6003;709;1,31417624521073
"34";2017-08-20;8407;6021;638;1,39627968775951
"35";2017-08-21;8924;6039;567;1,47772810067892
"36";2017-08-22;9442;6057;496;1,55885752022453
"37";2017-08-23;9960;6075;425;1,63950617283951
"38";2017-08-24;8931;5855;325;1,52536293766012
"39";2017-08-25;7902;5635;225;1,40230700976043
"40";2017-08-26;7468;5422;284;1,37735153080044
"41";2017-08-27;7033;5210;342;1,34990403071017
"42";2017-08-28;6598;4998;401;1,32012805122049
"43";2017-08-29;6164;4785;460;1,28819226750261
"44";2017-08-30;4461;4423;558;1,00859145376441
"45";2017-08-31;2759;4060;657;0,679556650246305
"46";2017-09-01;1056;3698;755;0,285559762033532
"47";2017-09-02;1308;3409;738;0,383690231739513
"48";2017-09-03;1560;3121;721;0,49983979493752
"49";2017-09-04;1812;2832;704;0,639830508474576
"50";2017-09-05;2064;2544;687;0,811320754716981
"51";2017-09-06;2316;2255;670;1,02705099778271
"52";2017-09-07;1788;2135;628;0,837470725995316
"53";2017-09-08;1261;2015;585;0,625806451612903
"54";2017-09-09;1906;1924;700;0,990644490644491
"55";2017-09-10;2551;1833;815;1,39170758319694
"56";2017-09-11;3197;1742;930;1,83524684270953
"57";2017-09-12;3842;1651;1045;2,32707450030285
"58";2017-09-13;4487;1560;1160;2,87628205128205
"59";2017-09-14;2800;1330;1135;2,10526315789474
"60";2017-09-15;1114;1100;1110;1,01272727272727
"61";2017-09-16;1412;1129;1249;1,25066430469442
"62";2017-09-17;1710;1158;1388;1,47668393782383
"63";2017-09-18;2008;1187;1527;1,69165964616681
"64";2017-09-19;2306;1216;1666;1,89638157894737
"65";2017-09-20;2604;1245;1805;2,09156626506024
"66";2017-09-21;1512;1028;1430;1,47081712062257
"67";2017-09-22;419;810;1055;0,517283950617284
"68";2017-09-23;432;839;1100;0,514898688915375
"69";2017-09-24;445;868;1145;0,512672811059908
"70";2017-09-25;458;896;1190;0,511160714285714
"71";2017-09-26;471;925;1235;0,509189189189189
"72";2017-09-27;322;838;1247;0,384248210023866
"73";2017-09-28;174;752;1258;0,231382978723404
"74";2017-09-29;25;665;1270;0,037593984962406
"75";2017-09-30;29;609;1219;0,0476190476190476
"76";2017-10-01;33;552;1168;0,0597826086956522
"77";2017-10-02;37;496;1116;0,0745967741935484
"78";2017-10-03;41;440;1065;0,0931818181818182
"79";2017-10-04;27;435;1035;0,0620689655172414
"80";2017-10-05;14;430;1005;0,0325581395348837
"81";2017-10-06;0;425;975;0
