"";"date";"larves";"inflos_vivantes";"inflos_mortes";"larves_inflos"
"1";2017-07-18;50;635;0;0,078740157480315
"2";2017-07-21;794;821;0;0,967113276492083
"3";2017-07-25;1650;1070;0;1,54205607476636
"4";2017-07-28;1785;1316;0;1,3563829787234
"5";2017-08-01;4466;1645;0;2,71489361702128
"6";2017-08-04;5221;2093;0;2,49450549450549
"7";2017-08-08;10479;2690;0;3,89553903345725
"8";2017-08-11;10297;3119;93;3,30137864700224
"9";2017-08-15;16313;3692;217;4,41847237269772
"10";2017-08-18;15312;5985;780;2,55839598997494
"11";2017-08-22;32591;6057;496;5,38071652633317
"12";2017-08-25;28333;5635;225;5,02803904170364
"13";2017-08-29;29001;4785;460;6,06081504702194
"14";2017-09-01;13384;3698;755;3,61925365062196
"15";2017-09-05;5736;2544;687;2,25471698113208
"16";2017-09-08;6168;2015;585;3,06104218362283
"17";2017-09-12;8915;1651;1045;5,39975772259237
"18";2017-09-15;11129;1100;1110;10,1172727272727
"19";2017-09-19;6244;1216;1666;5,13486842105263
"20";2017-09-22;6422;810;1055;7,92839506172839
"21";2017-09-26;1754;925;1235;1,89621621621622
"22";2017-09-29;967;665;1270;1,45413533834586
"23";2017-10-03;124;440;1065;0,281818181818182
"24";2017-10-06;82;425;975;0,192941176470588
