date,larves,inflos_vivantes,inflos_mortes,Bloc,Sol
2017-09-24,1733.1606593406593,4746.550000000001,100.30000000000001,Bloc 1,Enherbement haut
2017-09-25,1733.1606593406593,4904.375000000001,100.30000000000001,Bloc 1,Enherbement haut
2017-09-26,1733.1606593406593,5062.200000000001,100.30000000000001,Bloc 1,Enherbement haut
2017-09-27,237.85740740740744,4562.666666666667,159.3,Bloc 1,Enherbement haut
2017-09-28,237.85740740740744,4063.133333333334,159.3,Bloc 1,Enherbement haut
2017-09-29,237.85740740740744,3563.6000000000004,159.3,Bloc 1,Enherbement haut
2017-09-30,16.71666666666667,3290.7250000000004,334.82500000000005,Bloc 1,Enherbement haut
2017-10-01,16.71666666666667,3017.8500000000004,334.82500000000005,Bloc 1,Enherbement haut
2017-10-02,16.71666666666667,2744.9750000000004,334.82500000000005,Bloc 1,Enherbement haut
2017-10-03,16.71666666666667,2472.1000000000004,334.82500000000005,Bloc 1,Enherbement haut
2017-10-04,0,2170.3150000000005,NA,Bloc 1,Enherbement haut
2017-10-05,0,1868.5300000000002,NA,Bloc 1,Enherbement haut
2017-10-06,0,1566.7450000000001,NA,Bloc 1,Enherbement haut
