date;larves;inflos_vivantes;inflos_mortes;larves_inflos;Bloc;Sol
2017-09-08;  20,928571; 204,00; 71;0,10259104;Bloc 2;bache
2017-09-13; 108,833333;  74,00;157;1,47072072;Bloc 2;bache
2017-09-15;  25,800000;  79,00;128;0,32658228;Bloc 2;bache
2017-09-20; 107,691781;  82,00;169;1,31331440;Bloc 2;bache
2017-09-22;  69,166667;  57,00; 99;1,21345029;Bloc 2;bache
2017-09-26;  44,857143;  79,00; 92;0,56781193;Bloc 2;bache
2017-09-29;   0,000000;  68,00;103;0,00000000;Bloc 2;bache
2017-10-03;   0,000000;  51,00; 92;0,00000000;Bloc 2;bache
2017-10-06;   0,000000;  37,00; 75;0,00000000;Bloc 2;bache
2017-07-18;   0,000000;   0,00;NA;NA;Bloc 2;enh.ras
2017-07-25;   0,000000;   0,00;NA;NA;Bloc 2;enh.ras
2017-08-01;   0,000000;   0,00;NA;NA;Bloc 2;enh.ras
2017-08-08;   0,000000;   0,00;NA;NA;Bloc 2;enh.ras
2017-08-16;   0,000000;   2,00;  0;0,00000000;Bloc 2;enh.ras
2017-08-18;   0,000000;   3,00;  0;0,00000000;Bloc 2;enh.ras
2017-08-23;  11,666667;  12,00;  0;0,97222222;Bloc 2;enh.ras
2017-08-25;   3,500000;  15,00;  0;0,23333333;Bloc 2;enh.ras
2017-08-29;  21,333333;  20,00;  0;1,06666667;Bloc 2;enh.ras
2017-09-01;  22,000000;  33,00;  1;0,66666667;Bloc 2;enh.ras
2017-09-06; 330,500000;  60,00;  2;5,50833333;Bloc 2;enh.ras
2017-09-08; 135,000000; 105,00;  0;1,28571429;Bloc 2;enh.ras
2017-09-13; 780,500000; 212,00;  5;3,68160377;Bloc 2;enh.ras
2017-09-15; 196,984848; 122,00; 19;1,61462991;Bloc 2;enh.ras
2017-09-20; 407,400000; 155,00; 59;2,62838710;Bloc 2;enh.ras
2017-09-22;   8,615385;  83,00; 36;0,10379981;Bloc 2;enh.ras
2017-09-26;  42,861111;  82,00; 68;0,52269648;Bloc 2;enh.ras
2017-09-29;   0,000000;  60,00; 57;0,00000000;Bloc 2;enh.ras
2017-10-03;   3,750000;  28,00; 60;0,13392857;Bloc 2;enh.ras
2017-10-06;   0,000000;  35,00; 58;0,00000000;Bloc 2;enh.ras
2017-07-18;  36,200000;  97,00;NA;0,37319588;Bloc 2;enh.haut
2017-07-25;  84,500000; 136,00;NA;0,62132353;Bloc 2;enh.haut
2017-08-01; 213,750000; 143,00;NA;1,49475524;Bloc 2;enh.haut
2017-08-08; 413,571429; 214,00;NA;1,93257677;Bloc 2;enh.haut
2017-08-16; 255,557692; 229,00;NA;1,11597246;Bloc 2;enh.haut
2017-08-18; 678,681818; 378,00; 93;1,79545455;Bloc 2;enh.haut
2017-08-23; 966,539286; 437,00; 65;2,21176038;Bloc 2;enh.haut
2017-08-25; 760,349206; 345,00; 34;2,20391074;Bloc 2;enh.haut
2017-08-29; 550,542424; 328,00; 69;1,67848300;Bloc 2;enh.haut
2017-09-01; 176,635714; 273,00; 78;0,64701727;Bloc 2;enh.haut
2017-09-06; 124,857143; 198,00; 58;0,63059163;Bloc 2;enh.haut
2017-09-08;  96,250000;  94,00; 46;1,02393617;Bloc 2;enh.haut
2017-09-13;   8,000000;  26,00; 70;0,30769231;Bloc 2;enh.haut
2017-09-15;   0,000000;  19,00; 75;0,00000000;Bloc 2;enh.haut
2017-09-20;   0,000000;  12,00;133;0,00000000;Bloc 2;enh.haut
2017-09-22;   6,000000;  22,00; 76;0,27272727;Bloc 2;enh.haut
2017-09-26;   6,500000;  24,00; 87;0,27083333;Bloc 2;enh.haut
2017-09-29;   5,000000;   5,00; 94;1,00000000;Bloc 2;enh.haut
2017-10-03;   4,500000;   9,00; 61;0,50000000;Bloc 2;enh.haut
2017-10-06;   0,000000;  13,00; 62;0,00000000;Bloc 2;enh.haut
