days;alive;dead;new;alive_theo;stadeC_theo;stadeE_theo;stadeF_theo;dead_theo;Bloc;Sol
2018-08-05;34; 0; 0;34; 9; 8;17; 0;Bloc 2;E
2018-08-06;34; 0; 0;34; 8; 9;17; 0;Bloc 2;E
2018-08-07;35; 0; 1;35; 7;10;18; 0;Bloc 2;E
2018-08-08;35; 0; 0;33; 5;12;16; 2;Bloc 2;E
2018-08-09;37; 0; 2;35; 5;10;20; 2;Bloc 2;E
2018-08-10;37; 0; 0;35; 4;11;20; 2;Bloc 2;E
2018-08-11;37; 0; 0;35; 3;12;20; 2;Bloc 2;E
2018-08-12;37; 0; 0;35; 3;12;20; 2;Bloc 2;E
2018-08-13;37; 0; 0;35; 3; 9;23; 2;Bloc 2;E
2018-08-14;39; 0; 2;37; 4;10;23; 2;Bloc 2;E
2018-08-15;39; 0; 0;37; 4; 9;24; 2;Bloc 2;E
2018-08-16;39; 0; 0;37; 2; 9;26; 2;Bloc 2;E
2018-08-17;40; 0; 1;32; 3; 7;22; 8;Bloc 2;E
2018-08-18;42; 0; 2;34; 5; 5;24; 8;Bloc 2;E
2018-08-19;42; 0; 0;34; 5; 4;25; 8;Bloc 2;E
2018-08-20;43; 0; 1;35; 6; 3;26; 8;Bloc 2;E
2018-08-21;43; 0; 0;35; 4; 5;26; 8;Bloc 2;E
2018-08-22;44; 0; 1;36; 5; 5;26; 8;Bloc 2;E
2018-08-23;44; 0; 0;36; 5; 4;27; 8;Bloc 2;E
2018-08-24;45; 0; 1;37; 5; 5;27; 8;Bloc 2;E
2018-08-25;45; 0; 0;37; 3; 5;29; 8;Bloc 2;E
2018-08-26;45; 0; 0;37; 3; 5;29; 8;Bloc 2;E
2018-08-27;45; 0; 0;37; 2; 6;29; 8;Bloc 2;E
2018-08-28;45; 0; 0;34; 2; 6;26;11;Bloc 2;E
2018-08-29;45; 0; 0;28; 1; 7;20;17;Bloc 2;E
2018-08-30;45; 0; 0;28; 1; 5;22;17;Bloc 2;E
2018-08-31;45; 0; 0;28; 0; 6;22;17;Bloc 2;E
2018-09-01;45; 0; 0;28; 0; 6;22;17;Bloc 2;E
2018-09-02;45; 0; 0;28; 0; 5;23;17;Bloc 2;E
2018-09-03;45; 0; 0;28; 0; 3;25;17;Bloc 2;E
2018-09-04;45; 0; 0;28; 0; 3;25;17;Bloc 2;E
2018-09-05;45; 0; 0;28; 0; 2;26;17;Bloc 2;E
2018-09-06;14;31; 0;28; 0; 2;26;17;Bloc 2;E
2018-09-07;15;31; 1;29; 1; 1;27;17;Bloc 2;E
2018-09-08;15;31; 0;29; 1; 1;27;17;Bloc 2;E
2018-09-09;15;31; 0;29; 1; 0;28;17;Bloc 2;E
2018-09-10;15;31; 0;28; 1; 0;27;18;Bloc 2;E
2018-09-11;15;31; 0;28; 1; 0;27;18;Bloc 2;E
2018-09-12;15;31; 0;24; 1; 0;23;22;Bloc 2;E
2018-09-13;14;33; 1;25; 2; 0;23;22;Bloc 2;E
2018-09-14;14;33; 0;25; 1; 1;23;22;Bloc 2;E
2018-09-15;14;33; 0;25; 1; 1;23;22;Bloc 2;E
2018-09-16;14;33; 0;22; 1; 1;20;25;Bloc 2;E
2018-09-17;14;33; 0;22; 1; 1;20;25;Bloc 2;E
2018-09-18;14;33; 0;21; 1; 1;19;26;Bloc 2;E
2018-09-19;14;33; 0;19; 1; 1;17;28;Bloc 2;E
2018-09-20; 8;39; 0;17; 0; 2;15;30;Bloc 2;E
