date,larves,inflos_vivantes,inflos_mortes,Bloc,Sol
2017-07-19,61.68571428571429,396.3428571428571,NA,Bloc 2,Bache
2017-07-20,61.68571428571429,430.58571428571423,NA,Bloc 2,Bache
2017-07-21,61.68571428571429,464.82857142857137,NA,Bloc 2,Bache
2017-07-22,61.68571428571429,499.07142857142856,NA,Bloc 2,Bache
2017-07-23,61.68571428571429,533.3142857142857,NA,Bloc 2,Bache
2017-07-24,61.68571428571429,567.5571428571428,NA,Bloc 2,Bache
2017-07-25,61.68571428571429,601.8,NA,Bloc 2,Bache
2017-07-26,157.34304267161409,687.7714285714285,NA,Bloc 2,Bache
2017-07-27,157.34304267161409,773.742857142857,NA,Bloc 2,Bache
2017-07-28,157.34304267161409,859.7142857142856,NA,Bloc 2,Bache
2017-07-29,157.34304267161409,945.6857142857142,NA,Bloc 2,Bache
2017-07-30,157.34304267161409,1031.6571428571428,NA,Bloc 2,Bache
2017-07-31,157.34304267161409,1117.6285714285714,NA,Bloc 2,Bache
2017-08-01,157.34304267161409,1203.6,NA,Bloc 2,Bache
2017-08-02,789.7714285714285,1384.2857142857142,NA,Bloc 2,Bache
2017-08-03,789.7714285714285,1564.9714285714283,NA,Bloc 2,Bache
2017-08-04,789.7714285714285,1745.6571428571426,NA,Bloc 2,Bache
2017-08-05,789.7714285714285,1926.3428571428567,NA,Bloc 2,Bache
2017-08-06,789.7714285714285,2107.028571428571,NA,Bloc 2,Bache
2017-08-07,789.7714285714285,2287.7142857142853,NA,Bloc 2,Bache
2017-08-08,789.7714285714285,2468.3999999999996,NA,Bloc 2,Bache
2017-08-09,1074.7474206349204,2648.1749999999997,23.5875,Bloc 2,Bache
2017-08-10,1074.7474206349204,2827.95,23.5875,Bloc 2,Bache
2017-08-11,1074.7474206349204,3007.7249999999995,23.5875,Bloc 2,Bache
2017-08-12,1074.7474206349204,3187.5,23.5875,Bloc 2,Bache
2017-08-13,1074.7474206349204,3367.2749999999996,23.5875,Bloc 2,Bache
2017-08-14,1074.7474206349204,3547.0499999999997,23.5875,Bloc 2,Bache
2017-08-15,1074.7474206349204,3726.825,23.5875,Bloc 2,Bache
2017-08-16,1074.7474206349204,3906.6,23.5875,Bloc 2,Bache
2017-08-17,2028.553333333333,4034.0999999999995,160.64999999999998,Bloc 2,Bache
2017-08-18,2028.553333333333,4161.5999999999995,160.64999999999998,Bloc 2,Bache
2017-08-19,1034.0336903820814,4110.5999999999995,20.4,Bloc 2,Bache
2017-08-20,1034.0336903820814,4059.5999999999995,20.4,Bloc 2,Bache
2017-08-21,1034.0336903820814,4008.6,20.4,Bloc 2,Bache
2017-08-22,1034.0336903820814,3957.6,20.4,Bloc 2,Bache
2017-08-23,1034.0336903820814,3906.6,20.4,Bloc 2,Bache
2017-08-24,2082.4520631270902,3909.1499999999996,28.049999999999997,Bloc 2,Bache
2017-08-25,2082.4520631270902,3911.7,28.049999999999997,Bloc 2,Bache
2017-08-26,842.726662087912,3710.25,29.325,Bloc 2,Bache
2017-08-27,842.726662087912,3508.7999999999997,29.325,Bloc 2,Bache
2017-08-28,842.726662087912,3307.3499999999995,29.325,Bloc 2,Bache
2017-08-29,842.726662087912,3105.8999999999996,29.325,Bloc 2,Bache
2017-08-30,9.399999999999999,2765.8999999999996,122.39999999999999,Bloc 2,Bache
2017-08-31,9.399999999999999,2425.8999999999996,122.39999999999999,Bloc 2,Bache
2017-09-01,9.399999999999999,2085.8999999999996,122.39999999999999,Bloc 2,Bache
2017-09-02,7.955999999999999,1865.5799999999997,75.47999999999999,Bloc 2,Bache
2017-09-03,7.955999999999999,1645.2599999999998,75.47999999999999,Bloc 2,Bache
2017-09-04,7.955999999999999,1424.9399999999998,75.47999999999999,Bloc 2,Bache
2017-09-05,7.955999999999999,1204.62,75.47999999999999,Bloc 2,Bache
2017-09-06,7.955999999999999,984.3,75.47999999999999,Bloc 2,Bache
2017-09-07,53.36785714285715,1012.3499999999999,181.04999999999998,Bloc 2,Bache
2017-09-08,53.36785714285715,1040.3999999999999,181.04999999999998,Bloc 2,Bache
2017-09-09,111.00999999999999,907.7999999999998,160.14,Bloc 2,Bache
2017-09-10,111.00999999999999,775.1999999999998,160.14,Bloc 2,Bache
2017-09-11,111.00999999999999,642.5999999999999,160.14,Bloc 2,Bache
2017-09-12,111.00999999999999,509.9999999999999,160.14,Bloc 2,Bache
2017-09-13,111.00999999999999,377.4,160.14,Bloc 2,Bache
2017-09-14,65.78999999999999,390.15,326.4,Bloc 2,Bache
2017-09-15,65.78999999999999,402.9,326.4,Bloc 2,Bache
2017-09-16,109.84561643835616,405.96,172.38,Bloc 2,Bache
2017-09-17,109.84561643835616,409.02,172.38,Bloc 2,Bache
2017-09-18,109.84561643835616,412.08,172.38,Bloc 2,Bache
2017-09-19,109.84561643835616,415.14,172.38,Bloc 2,Bache
2017-09-20,109.84561643835616,418.2,172.38,Bloc 2,Bache
2017-09-21,176.375,354.45,252.45,Bloc 2,Bache
2017-09-22,176.375,290.7,252.45,Bloc 2,Bache
2017-09-23,57.192857142857136,318.75,117.3,Bloc 2,Bache
2017-09-24,57.192857142857136,346.79999999999995,117.3,Bloc 2,Bache
2017-09-25,57.192857142857136,374.84999999999997,117.3,Bloc 2,Bache
2017-09-26,57.192857142857136,402.9,117.3,Bloc 2,Bache
2017-09-27,0,384.2,175.1,Bloc 2,Bache
2017-09-28,0,365.49999999999994,175.1,Bloc 2,Bache
2017-09-29,0,346.79999999999995,175.1,Bloc 2,Bache
2017-09-30,0,325.12499999999994,117.3,Bloc 2,Bache
2017-10-01,0,303.44999999999993,117.3,Bloc 2,Bache
2017-10-02,0,281.775,117.3,Bloc 2,Bache
2017-10-03,0,260.09999999999997,117.3,Bloc 2,Bache
2017-10-04,0,236.29999999999998,127.5,Bloc 2,Bache
2017-10-05,0,212.5,127.5,Bloc 2,Bache
2017-10-06,0,188.7,127.5,Bloc 2,Bache
