"","inflos_ER","inflos_PS","inflos_EH"
"1",107.723272055089,373.003455148199,462.878889880177
"2",121.186323842316,393.188422236378,662.048660521834
"3",108.521022939028,374.199512000046,618.39268576989
"4",102.863020653571,365.716547533911,645.626402679502
"5",97.9031061068635,358.280216346323,649.325307188359
"6",96.9449126096015,356.84361010637,712.209853354942
"7",236.484281728831,354.557608409157,563.508952685583
"8",298.000320635583,341.040030942004,499.70310685707
"9",426.785171035386,428.377650907597,351.992313483618
"10",426.725682718919,534.036183532834,314.336820395208
"11",553.519703151672,512.641257066577,268.280932254048
"12",595.288667102659,469.517163605176,226.931913616434
"13",661.923346563092,463.673893029591,448.200742715013
"14",644.37070972138,437.357467707894,565.980813558463
"15",598.301355956633,368.286323645499,503.868130640723
"16",817.54052249806,379.745401787544,1333.82009756751
"17",750.663636937433,385.22553611154,1420.52124339071
"18",891.618866084173,596.557759013101,1443.90536578934
"19",823.281149480285,599.847689585701,1433.61192091925
"20",752.12885114309,704.665479380313,1363.83707073684
"21",906.460438262628,830.304967900509,2058.11885224368
"22",908.866639023518,833.912551376656,2047.01681312245
"23",846.519782080052,740.436772233538,2126.82985919995
"24",921.760710421229,641.749008778454,2213.47336908171
"25",925.503363467569,647.360316656993,2207.42489059436
"26",983.949118923202,629.239505733438,2204.4414194777
"27",980.144486127177,623.535272474585,2201.5809611321
"28",958.779563677602,591.503140139233,2200.93116262885
"29",957.788680336923,590.017522469782,2195.64246072706
"30",904.112597555693,509.541714942298,2195.54742697439
"31",860.710784356044,444.469977505076,2192.32544127372
"32",930.90926680974,761.213035303136,2278.12259748164
"33",991.211605075947,851.623495908981,2277.57978887521
"34",990.237550537059,955.91083206322,2275.57724465253
"35",1059.27973018883,953.677093181856,2358.18742881404
"36",1058.80302765728,952.962379678391,2445.08260521482
"37",1129.22660689216,952.799754060298,2527.68296250795
"38",1129.1854999598,952.738123005923,2701.45753715854
"39",1199.56253926361,952.505720713733,2699.84212345871
"40",1340.61640450902,1058.23810471774,3047.65022080246
"41",1340.59113664532,1058.20022095965,3047.6344834654
"42",1340.58280653894,1058.18773174651,3047.54787868073
"43",1340.54306903597,1058.12815385866,3046.27130534434
"44",1340.47801980623,1058.0306264494,3046.02271014281
"45",1340.33617099973,1057.81795449835,3045.76376345072
"46",1481.35322724202,1269.24287390799,3393.22886750413
"47",1551.79161804932,1269.1024550753,3479.91730796146
"48",1622.29673120659,1269.06207213786,3566.47986681291
"49",1692.77269756659,1374.72571244515,3739.72750153074
"50",1763.30119834558,1480.46811687928,3739.43532304314
"51",1763.30119834558,1480.46811687927,3739.43532304314
"52",1904.36529421323,1691.96356214774,3913.36254737073
"53",1974.89734214705,1903.45900741621,4087.28977169832
"54",1974.89734214705,2009.20673005044,4261.21699602591
"55",1974.89734214705,2220.70217531891,4348.1806081897
"56",1974.89734214705,2326.44989795315,4435.1442203535
"57",1974.89734214705,2537.94534322161,4522.10783251729
"58",1622.23710247794,2326.44989795315,3652.47171087935
"59",1622.23710247794,2326.44989795315,3652.47171087935
"60",1622.23710247794,2326.44989795315,3652.47171087935
"61",1622.23710247794,2326.44989795315,3652.47171087935
"62",1622.23710247794,2537.94534322161,3652.47171087935
"63",1622.23710247794,2537.94534322161,3652.47171087935
"64",1622.23710247794,2537.94534322161,3652.47171087935
"65",1269.57686280882,2114.95445268468,3043.72642573279
"66",1269.57686280882,2114.95445268468,3043.72642573279
"67",1269.57686280882,2114.95445268468,3043.72642573279
"68",1269.57686280882,2114.95445268468,3043.72642573279
"69",1269.57686280882,2114.95445268468,3043.72642573279
"70",1269.57686280882,2114.95445268468,3043.72642573279
"71",1128.51276694117,1691.96356214774,1739.27224327588
"72",1128.51276694117,1691.96356214774,1739.27224327588
"73",1128.51276694117,1691.96356214774,1739.27224327588
"74",1128.51276694117,1691.96356214774,1739.27224327588
"75",1128.51276694117,1691.96356214774,1739.27224327588
"76",1128.51276694117,1691.96356214774,1739.27224327588
"77",1128.51276694117,1691.96356214774,1739.27224327588
"78",493.724335536763,740.234058439637,608.745285146558
