days;alive;dead;new;alive_theo;stadeC_theo;stadeE_theo;stadeF_theo;dead_theo
2018-07-10; 1; 0; 1; 1; 1; 0; 0; 0
2018-07-11; 1; 0; 0; 1; 1; 0; 0; 0
2018-07-12; 1; 0; 0; 1; 1; 0; 0; 0
2018-07-13; 2; 0; 1; 2; 2; 0; 0; 0
2018-07-14; 2; 0; 0; 2; 2; 0; 0; 0
2018-07-15; 3; 0; 1; 3; 3; 0; 0; 0
2018-07-16; 3; 0; 0; 3; 3; 0; 0; 0
2018-07-17; 3; 0; 0; 3; 2; 1; 0; 0
2018-07-18; 3; 0; 0; 3; 2; 1; 0; 0
2018-07-19; 4; 0; 1; 4; 3; 1; 0; 0
2018-07-20; 4; 0; 0; 4; 2; 2; 0; 0
2018-07-21; 4; 0; 0; 4; 2; 2; 0; 0
2018-07-22; 4; 0; 0; 4; 1; 3; 0; 0
2018-07-23; 4; 0; 0; 4; 1; 3; 0; 0
2018-07-24; 4; 0; 0; 4; 1; 3; 0; 0
2018-07-25; 4; 0; 0; 4; 1; 3; 0; 0
2018-07-26; 5; 0; 1; 5; 1; 3; 1; 0
2018-07-27; 6; 0; 1; 6; 2; 3; 1; 0
2018-07-28; 6; 0; 0; 6; 2; 3; 1; 0
2018-07-29; 6; 0; 0; 6; 2; 2; 2; 0
2018-07-30; 6; 0; 0; 6; 2; 2; 2; 0
2018-07-31; 6; 0; 0; 6; 2; 1; 3; 0
2018-08-01; 6; 0; 0; 6; 2; 1; 3; 0
2018-08-02; 8; 0; 2; 8; 3; 2; 3; 0
2018-08-03; 9; 0; 1; 9; 3; 3; 3; 0
2018-08-04;12; 0; 3;12; 6; 2; 4; 0
2018-08-05;13; 0; 1;13; 7; 2; 4; 0
2018-08-06;15; 0; 2;15; 9; 2; 4; 0
2018-08-07;18; 0; 3;18;12; 2; 4; 0
2018-08-08;19; 0; 1;19;13; 2; 4; 0
2018-08-09;19; 0; 0;19;11; 4; 4; 0
2018-08-10;19; 0; 0;19;10; 5; 4; 0
2018-08-11;20; 0; 1;20; 8; 7; 5; 0
2018-08-12;20; 0; 0;20; 7; 7; 6; 0
2018-08-13;20; 0; 0;20; 5; 9; 6; 0
2018-08-14;20; 0; 0;20; 2;12; 6; 0
2018-08-15;20; 0; 0;20; 1;13; 6; 0
2018-08-16;20; 0; 0;20; 1;13; 6; 0
2018-08-17;20; 0; 0;20; 1;13; 6; 0
2018-08-18;24; 0; 4;24; 4;12; 8; 0
2018-08-19;25; 0; 1;25; 5;11; 9; 0
2018-08-20;26; 0; 1;26; 6; 8;12; 0
2018-08-21;26; 0; 0;26; 6; 7;13; 0
2018-08-22;27; 0; 1;27; 7; 5;15; 0
2018-08-23;28; 0; 1;28; 8; 2;18; 0
2018-08-24;28; 0; 0;28; 8; 1;19; 0
2018-08-25;28; 0; 0;28; 4; 5;19; 0
2018-08-26;28; 0; 0;28; 3; 6;19; 0
2018-08-27;29; 0; 1;29; 3; 6;20; 0
2018-08-28;30; 0; 1;30; 4; 6;20; 0
2018-08-29;30; 0; 0;29; 3; 7;19; 1
2018-08-30;30; 0; 0;29; 2; 8;19; 1
2018-08-31;30; 0; 0;29; 2; 8;19; 1
2018-09-01;32; 0; 2;30; 4; 8;18; 2
2018-09-02;32; 0; 0;30; 4; 8;18; 2
2018-09-03;32; 0; 0;29; 3; 5;21; 3
2018-09-04;39; 0; 7;36; 9; 5;22; 3
2018-09-05;40; 0; 1;37;10; 4;23; 3
2018-09-06;25;19; 4;41;14; 4;23; 3
2018-09-07;28;19; 3;43;17; 3;23; 4
2018-09-08;38;19;10;53;25; 4;24; 4
2018-09-09;39;19; 1;54;26; 4;24; 4
2018-09-10;42;19; 3;57;29; 4;24; 4
2018-09-11;46;19; 4;61;26;11;24; 4
2018-09-12;48;19; 2;63;27;11;25; 4
2018-09-13;47;22; 2;65;25;14;26; 4
2018-09-14;47;22; 0;64;22;17;25; 5
2018-09-15;47;22; 0;63;12;27;24; 6
2018-09-16;47;22; 0;63;11;28;24; 6
2018-09-17;49;22; 2;65;10;29;26; 6
2018-09-18;49;22; 0;65; 6;33;26; 6
2018-09-19;49;22; 0;65; 4;35;26; 6
2018-09-20;45;26; 0;65; 2;30;33; 6
2018-09-21;45;26; 0;63; 2;29;32; 8
2018-09-22;45;26; 0;62; 2;25;35; 9
2018-09-23;45;26; 0;59; 2;22;35;12
2018-09-24;45;26; 0;58; 0;14;44;13
2018-09-25;45;26; 0;56; 0;13;43;15
2018-09-26;42;31; 2;55; 2;10;43;18
2018-09-27;42;31; 0;54; 2; 6;46;19
2018-09-28;42;31; 0;54; 2; 4;48;19
2018-09-29;42;31; 0;54; 2; 2;50;19
2018-09-30;42;31; 0;53; 2; 2;49;20
2018-10-01;42;31; 0;53; 2; 2;49;20
2018-10-02;42;31; 0;53; 2; 2;49;20
2018-10-03;33;40; 0;53; 0; 2;51;20
