Bloc;Traitm;Arbre;Code.arbre;UC;Annee;Position;Orientation;UCmort;BGterm;Nbinflo;NbUCfille;NbFruit;ApNAture;ApdateC;Apmort;ApdateM;Lat1NAture;Lat1dateC;Lat1mort;Lat1dateM;Lat2NAture;Lat2dateC;Lat2mort;Lat2dateM;Lat3NAture;Lat3dateC;Lat3mort;Lat3dateM;Lat4NAture;Lat4dateC;Lat4mort;Lat4dateM;Lat5NAture;Lat5dateC;Lat5mort;Lat5dateM;Lat6NAture;Lat6dateC;Lat6mort;Lat6dateM;Lat7NAture;Lat7dateC;Lat7mort;Lat7dateM;Lat8NAture;Lat8dateC;Lat8mort;Lat8dateM;Lat9NAture;Lat9dateC;Lat9mort;Lat9dateM
1;B;12;1-B-12;34;2017;L;N;0;1;1;0;0;F;19/08/2018;;06/09/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;12;1-B-12;35;2017;L;E;0;1;1;0;0;F;04/08/2018;;13/09/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;12;1-B-12;36;2017;L;E;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;12;1-B-12;37;2017;L;SE;0;1;1;0;0;F;06/08/2018;;06/09/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;12;1-B-12;38;2017;A;S;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;12;1-B-12;39;2017;A;S;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;12;1-B-12;40;2017;L;S;0;1;2;0;0;F;;;;F;26/09/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;15;1-B-15;41;2017;A;SO;0;1;1;0;0;F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;15;1-B-15;42;2017;L;SE;0;1;1;0;0;F;27/08/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;15;1-B-15;43;2017;L;SE;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;15;1-B-15;44;2017;A;SE;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;15;1-B-15;45;2017;L;N;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;15;1-B-15;46;2017;L;N;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;15;1-B-15;47;2017;L;N;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;15;1-B-15;48;2017;L;O;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;16;1-B-16;49;2017;L;S;0;1;0;0;0;BG;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;16;1-B-16;50;2017;L;S;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;16;1-B-16;51;2017;L;E;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;16;1-B-16;52;2017;A;E;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;16;1-B-16;53;2017;L;N;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;16;1-B-16;54;2017;L;N;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;16;1-B-16;55;2017;A;N;0;1;1;0;0;VF;08/09/2018;;03/10/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;16;1-B-16;56;2017;L;O;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;17;1-B-17;57;2017;L;N;0;1;3;0;0;F;13/09/2018;;20/09/2018;F;09/09/2018;;03/10/2018;F;10/09/2018;;26/09/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;17;1-B-17;58;2017;A;S;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;17;1-B-17;59;2017;A;E;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;17;1-B-17;60;2017;L;E;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;17;1-B-17;61;2017;A;NE;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;17;1-B-17;62;2017;L;N;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;17;1-B-17;63;2017;L;N;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;17;1-B-17;64;2017;A;O;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;18;1-B-18;65;2017;A;S;0;1;1;0;0;VF;07/09/2018;;03/10/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;18;1-B-18;66;2017;L;O;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;18;1-B-18;67;2017;L;N;0;1;1;0;0;F;04/09/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;18;1-B-18;68;2017;A;N;0;1;0;1;0;V;11/09/2018;;03/10/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;18;1-B-18;69;2017;A;E;0;1;1;0;0;F;23/08/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;18;1-B-18;70;2017;L;E;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;18;1-B-18;71;2017;L;SE;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;18;1-B-18;72;2017;L;SE;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;20;1-B-20;73;2017;A;O;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;20;1-B-20;74;2017;L;O;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;20;1-B-20;75;2017;L;N;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;20;1-B-20;76;2017;A;N;0;1;1;0;0;F;04/09/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;20;1-B-20;77;2017;L;N;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;20;1-B-20;78;2017;A;E;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;20;1-B-20;79;2017;L;SE;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;20;1-B-20;80;2017;A;S;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;22;1-B-22;81;2017;L;SE;0;1;1;0;0;F;01/09/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;22;1-B-22;82;2017;L;E;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;22;1-B-22;83;2017;L;E;0;1;0;1;0;V;08/09/2018;;03/10/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;22;1-B-22;84;2017;L;E;0;1;0;1;0;V;08/09/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;22;1-B-22;85;2017;L;O;0;1;1;0;0;F;04/09/2018;;03/10/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;22;1-B-22;86;2017;L;N;0;1;0;1;0;V;08/09/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;22;1-B-22;87;2017;L;NO;0;1;0;1;0;V;08/09/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;22;1-B-22;88;2017;A;S;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;23;1-B-23;89;2017;A;S;0;1;0;0;0;BG;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;23;1-B-23;90;2017;L;O;0;1;0;0;0;BG;NA;;20/09/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;23;1-B-23;91;2017;L;E;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;23;1-B-23;92;2017;A;N;0;1;1;0;0;F;01/09/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;23;1-B-23;93;2017;L;NO;0;1;0;1;0;V;08/09/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;23;1-B-23;94;2017;A;NE;0;1;1;0;0;F;22/08/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;23;1-B-23;95;2017;L;O;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;23;1-B-23;96;2017;A;S;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;24;1-B-24;97;2017;L;N;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;24;1-B-24;98;2017;A;O;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;24;1-B-24;99;2017;A;SO;0;1;1;0;0;F;04/08/2018;;06/09/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;24;1-B-24;100;2017;A;SE;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;24;1-B-24;101;2017;A;S;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;24;1-B-24;102;2017;A;N;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;24;1-B-24;103;2017;L;E;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;24;1-B-24;104;2017;A;SE;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;25;1-B-25;105;2017;A;N;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;25;1-B-25;106;2017;A;N;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;25;1-B-25;107;2017;L;NO;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;25;1-B-25;108;2017;A;S;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;25;1-B-25;109;2017;L;NO;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;25;1-B-25;110;2017;A;N;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;25;1-B-25;111;2017;A;S;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;25;1-B-25;112;2017;L;S;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;27;1-B-27;113;2017;L;S;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;27;1-B-27;114;2017;A;SO;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;27;1-B-27;115;2017;L;N;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;27;1-B-27;116;2017;A;S;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;27;1-B-27;117;2017;A;E;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;27;1-B-27;118;2017;A;E;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;27;1-B-27;119;2017;A;E;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;27;1-B-27;120;2017;L;E;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;30;1-B-30;121;2017;L;SO;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
