Date;Arbre;Piege;NbInfloPiege;NbLarves;Observations
10/08/2018;11PS;B;7;3;
10/08/2018;15PS;A;3;0;
10/08/2018;15PS;B;0;0;
10/08/2018;22PS;A;1;0;
10/08/2018;22PS;B;1;0;
10/08/2018;23PS;A;0;0;
10/08/2018;23PS;B;0;0;Déplacé
10/08/2018;24PS;A;0;0;
10/08/2018;24PS;B;0;0;Déplacé
10/08/2018;30PS;A;1;0;
10/08/2018;30PS;B;0;0;Déplacé
10/08/2018;33PS;A;2;0;
10/08/2018;33PS;B;0;0;Déplacé
10/08/2018;36PS;A;1;0;
10/08/2018;36PS;B;0;0;
10/08/2018;12EH;A;3;0;
10/08/2018;12EH;B;4;0;
10/08/2018;22EH;A;0;0;
10/08/2018;22EH;B;0;0;
10/08/2018;23EH;A;0;0;
10/08/2018;23EH;B;2;0;
10/08/2018;24EH;A;3;2;
10/08/2018;24EH;B;0;0;
10/08/2018;34EH;A;0;0;
10/08/2018;34EH;B;0;0;
10/08/2018;35EH;A;0;0;
10/08/2018;35EH;B;1;0;
10/08/2018;38EH;A;3;0;
10/08/2018;38EH;B;4;0;
10/08/2018;41EH;A;5;2;
10/08/2018;41EH;B;4;0;
10/08/2018;45EH;A;0;0;
10/08/2018;45EH;B;0;0;
10/08/2018;47EH;A;0;4;
10/08/2018;47EH;B;1;0;
14/08/2018;9ER;A;5;13;
14/08/2018;9ER;B;4;9;
14/08/2018;11ER;A;3;1;Eau soufré
14/08/2018;11ER;B;4;11;
14/08/2018;13ER;A;4;6;Ecrasé
14/08/2018;13ER;B;7;10;
14/08/2018;16ER;A;4;10;
14/08/2018;16ER;B;1;11;Déplacé
14/08/2018;20ER;A;5;6;
14/08/2018;20ER;B;2;16;
14/08/2018;23ER;A;0;1;Déplacé
14/08/2018;23ER;B;2;0;Déplacé
14/08/2018;24ER;A;5;20;
14/08/2018;24ER;B;5;1;Déplacé
14/08/2018;25ER;A;7;31;
14/08/2018;25ER;B;5;30;
14/08/2018;34ER;A;0;0;
14/08/2018;34ER;B;0;0;
14/08/2018;39ER;A;8;3;Déplacé
14/08/2018;39ER;B;5;1;
14/08/2018;8PS;A;1;0;
14/08/2018;8PS;B;3;0;
14/08/2018;10PS;A;6;2;
14/08/2018;10PS;B;3;1;
14/08/2018;11PS;A;5;2;
14/08/2018;11PS;B;5;5;
14/08/2018;15PS;A;6;4;
14/08/2018;15PS;B;0;0;
14/08/2018;22PS;A;3;1;Ecrasé
14/08/2018;22PS;B;2;0;
14/08/2018;23PS;A;0;0;
14/08/2018;23PS;B;3;NA;Renversé
14/08/2018;24PS;A;0;0;
14/08/2018;24PS;B;0;0;Déplacé
14/08/2018;30PS;A;1;2;
14/08/2018;30PS;B;1;0;
14/08/2018;33PS;A;1;0;
14/08/2018;33PS;B;3;0;Ecrasé
14/08/2018;36PS;A;1;1;
14/08/2018;36PS;B;0;0;
14/08/2018;12EH;A;3;4;Renversé
14/08/2018;12EH;B;4;1;
14/08/2018;22EH;A;1;2;
14/08/2018;22EH;B;0;0;Déplacé
14/08/2018;23EH;A;0;NA;Renversé
14/08/2018;23EH;B;3;4;
14/08/2018;24EH;A;4;5;
14/08/2018;24EH;B;0;0;
14/08/2018;34EH;A;0;0;Ecrasé
14/08/2018;34EH;B;0;1;
14/08/2018;35EH;A;1;0;Ecrasé
14/08/2018;35EH;B;3;1;
14/08/2018;38EH;A;5;1;
14/08/2018;38EH;B;5;0;
14/08/2018;41EH;A;3;1;
14/08/2018;41EH;B;5;2;Ecrasé
14/08/2018;45EH;A;0;1;
14/08/2018;45EH;B;2;3;
14/08/2018;47EH;A;1;0;Ecrasé
14/08/2018;47EH;B;3;1;
17/08/2018;9ER;A;4;10;Déplacé
17/08/2018;9ER;B;3;2;
17/08/2018;11ER;A;2;1;Déplacé
17/08/2018;11ER;B;2;5;Déplacé
17/08/2018;13ER;A;4;5;
17/08/2018;13ER;B;6;7;
17/08/2018;16ER;A;4;8;
17/08/2018;16ER;B;4;7;
17/08/2018;20ER;A;4;4;
17/08/2018;20ER;B;2;3;Déplacé
