UC;Arbre;TypeBg;NatureBg;Date;Evenement;Cause1;Cause2
182;45EH;api;R;14/09/2018;Mort;D;
183;45EH;api;R;08/08/2018;Floraison;;
183;45EH;api;R;14/09/2018;Mort;P;
185;46EH;api;R;12/08/2018;Floraison;;
185;46EH;api;R;31/08/2018;Mort;P;
186;46EH;api;R;07/08/2018;Floraison;;
186;46EH;api;R;24/08/2018;Mort;D;
187;46EH;lat1;R;17/08/2018;Floraison;;
187;46EH;lat1;R;07/09/2018;Mort;;
188;46EH;api;R;07/08/2018;Floraison;;
188;46EH;api;R;14/09/2018;Mort;D;
189;46EH;api;R;03/08/2018;Floraison;;
189;46EH;api;R;21/09/2018;Mort;;
190;46EH;lat1;R;14/08/2018;Floraison;;
190;46EH;lat1;R;14/09/2018;Mort;;
190;46EH;lat2;R;14/08/2018;Floraison;;
190;46EH;lat2;R;05/10/2018;Mort;;
191;46EH;lat1;R;15/08/2018;Floraison;;
191;46EH;lat1;R;14/09/2018;Mort;;
191;46EH;lat2;R;11/08/2018;Floraison;;
191;46EH;lat2;R;14/09/2018;Mort;;
192;46EH;api;R;06/08/2018;Floraison;;
192;46EH;api;R;14/09/2018;Mort;C;
193;47EH;api;R;21/08/2018;Floraison;;
193;47EH;api;R;21/09/2018;Mort;;
194;47EH;api;R;10/08/2018;Floraison;;
194;47EH;api;R;14/09/2018;Mort;;
195;47EH;api;R;03/08/2018;Floraison;;
195;47EH;api;R;14/09/2018;Mort;;
196;47EH;api;R;03/08/2018;Floraison;;
196;47EH;api;R;28/09/2018;Mort;;
197;47EH;api;R;01/08/2018;Floraison;;
197;47EH;api;R;14/09/2018;Mort;P;
198;47EH;api;R;05/08/2018;Floraison;;
198;47EH;api;R;07/09/2018;Mort;O;
199;47EH;api;R;10/08/2018;Floraison;;
199;47EH;api;R;14/09/2018;Mort;P;
200;47EH;api;R;14/08/2018;Floraison;;
200;47EH;api;R;14/09/2018;Mort;;
